loan_id,customer_id,account_id,loan_amount,interest_rate,term_months,status
121,1350,649,135565.38,10.29,60,Default
122,2587,11770,788011.0,3.6,12,Closed
123,3629,12798,400497.34,10.07,60,Active
124,3457,8955,249478.7,13.77,24,Closed
125,9777,11282,301259.75,11.2,36,Default
126,8025,9839,674400.17,5.39,36,Default
127,6322,9740,278534.05,9.29,36,Closed
128,4762,1426,171208.87,12.18,24,Closed
129,8679,415,982150.89,9.16,24,Default
130,4178,7940,580483.9,12.1,60,Closed
131,3477,14017,660840.8,4.11,48,Default
132,9049,4386,980212.39,14.22,60,Active
133,6723,14823,608772.22,13.97,48,Closed
134,2230,5120,784777.05,13.95,24,Default
135,7913,12131,63966.15,12.18,60,Closed
136,2551,11898,458528.19,14.27,12,Default
137,9543,11264,708698.22,10.05,24,Closed
138,1247,338,272506.84,3.02,12,Active
139,2671,11513,128619.27,11.16,12,Default
140,7532,9617,445984.59,4.27,24,Closed
141,1433,9961,177015.43,6.87,12,Default
142,4825,13102,322907.86,3.79,36,Active
143,2254,4849,186036.87,5.54,60,Closed
144,9145,2890,444031.51,10.14,36,Default
145,2753,13816,271354.72,8.38,60,Active
146,4418,4960,720926.65,12.83,36,Closed
147,5108,4667,806759.86,10.3,24,Default
148,5995,13550,367429.89,13.0,24,Closed
149,8738,9828,857708.41,8.32,24,Default
150,6398,5875,309533.29,4.22,48,Default
151,1586,344,280436.79,11.21,60,Active
152,8914,4922,230199.09,10.95,48,Default
153,1428,8807,478508.82,12.27,36,Closed
154,6115,1035,361152.16,12.89,48,Closed
155,427,13139,125464.58,14.04,60,Closed
156,3893,1926,34286.16,12.31,60,Default
157,3200,4272,410111.72,12.1,48,Active
158,5623,10044,594685.88,8.16,12,Active
159,323,11509,234081.72,11.25,48,Active
160,2498,1025,719199.53,12.4,36,Default
161,5141,3423,228329.01,7.23,12,Default
162,9609,7680,798191.02,9.36,60,Active
163,8416,12067,249672.34,13.17,48,Active
164,2808,10549,165938.3,6.28,36,Closed
165,9205,7538,840573.36,10.19,36,Closed
166,5256,11070,453164.57,4.07,36,Closed
167,4364,5811,821634.09,3.59,12,Active
168,1622,3565,100496.72,13.11,36,Closed
169,636,84,583949.66,3.28,36,Default
170,6027,8643,434674.72,14.03,24,Default
171,2730,3154,175399.6,13.11,24,Active
172,428,9312,925862.19,13.38,48,Closed
173,8504,7248,557129.0,12.36,60,Default
174,9091,4504,285180.35,12.06,24,Closed
175,5185,14476,155659.27,11.38,12,Default
176,6672,6774,642125.39,14.18,60,Active
177,2506,5732,486363.9,14.95,60,Active
178,5685,2597,434066.8,9.02,48,Closed
179,4136,88,51363.27,5.41,60,Active
180,1560,7273,776265.11,11.87,60,Active
181,189,3074,271378.98,5.53,36,Closed
182,81,1204,168451.22,7.09,60,Active
183,7728,13622,129204.5,7.02,12,Closed
184,4446,2082,838538.3,7.68,24,Default
185,7280,1180,288623.6,5.25,48,Active
186,4544,12354,123225.07,6.08,36,Default
187,74,2890,102511.41,5.89,12,Active
188,3329,1802,212228.46,5.88,48,Default
189,5488,3536,533576.3,8.68,36,Closed
190,3693,14859,637464.76,7.04,60,Default
191,7788,727,619539.58,11.03,48,Default
192,4526,3897,836616.35,5.72,12,Active
193,7059,5975,276254.41,7.55,36,Active
194,5397,12347,58930.79,3.77,48,Default
195,5987,791,387018.4,7.0,36,Closed
196,4475,1974,466213.25,11.13,48,Active
197,588,6279,149575.92,14.52,60,Active
198,713,6109,714096.06,10.54,12,Active
199,4864,7397,35253.93,14.88,48,Closed
200,4817,9403,782721.23,7.85,24,Default
201,5543,9469,755662.95,12.53,60,Default
202,3994,3276,286111.8,12.28,36,Closed
203,8656,11845,558434.49,3.11,24,Active
204,1564,1928,704586.3,9.06,36,Closed
205,7996,11059,224200.6,13.52,48,Default
206,8180,5629,154603.63,12.98,36,Default
207,6134,6636,813165.48,11.8,24,Active
208,3894,7890,906563.46,6.18,60,Active
209,1946,5335,906789.51,11.55,12,Closed
210,2157,9277,509533.31,8.93,48,Active
211,7317,7858,439145.64,6.91,60,Closed
212,3140,7072,870021.1,7.5,36,Active
213,672,14643,71034.38,10.22,12,Default
214,2721,5904,119357.64,8.41,36,Closed
215,4992,4187,591026.36,5.56,60,Active
216,923,13426,489652.23,12.62,24,Active
217,4090,13301,97601.52,10.89,12,Default
218,9671,13205,998006.78,11.45,60,Default
219,5006,11134,384501.65,12.36,24,Active
220,4167,5372,628215.11,13.37,48,Active
221,1007,11944,592954.1,5.84,60,Default
222,2703,2034,207675.03,5.28,36,Active
223,2979,525,940741.21,6.27,24,Active
224,5181,13898,558661.51,5.92,60,Closed
225,8024,11278,505126.11,9.33,60,Default
226,8632,12211,367026.46,8.65,36,Active
227,7807,4161,372931.65,9.16,36,Default
228,9769,9077,609678.84,9.69,60,Closed
229,5303,403,399549.04,6.33,60,Active
230,7800,9743,253018.34,11.04,36,Active
231,1900,7656,264374.1,6.76,36,Active
232,4256,9952,720314.01,6.2,24,Active
233,9332,7584,558200.13,4.26,48,Closed
234,6466,14488,523401.17,7.31,24,Default
235,4287,2575,685643.15,13.56,36,Closed
236,1204,11243,746001.31,12.22,60,Closed
237,4364,1810,267555.25,12.67,48,Active
238,1510,14111,774850.36,10.5,24,Closed
239,2210,3612,839683.0,9.69,36,Default
240,543,14382,873646.97,8.07,60,Active
241,2528,9561,671089.98,9.54,48,Closed
242,4786,4845,814957.74,4.75,60,Closed
243,2363,12820,539724.03,12.26,24,Default
244,2483,9945,248564.26,4.75,24,Active
245,2866,813,215482.11,3.17,12,Active
246,1596,8273,761078.23,5.56,48,Active
247,2461,339,906769.51,3.12,48,Closed
248,8834,13082,261102.54,13.13,12,Active
249,4189,6885,926660.4,12.4,12,Closed
250,528,10553,281354.33,11.74,24,Active
251,1656,13930,987556.81,11.09,60,Active
252,5325,4433,969606.13,7.87,24,Active
253,6638,4455,924688.02,12.63,36,Default
254,8206,8490,277303.5,11.07,60,Active
255,523,10800,509224.93,10.5,24,Closed
256,5748,3692,887323.75,11.58,60,Closed
257,3259,13671,161029.24,10.79,60,Active
258,774,9466,67921.15,11.6,48,Active
259,8217,32,581125.2,12.51,12,Closed
260,7010,1883,455084.45,10.05,60,Default
261,3713,12808,926654.24,6.19,24,Closed
262,5564,9517,127760.01,12.29,24,Default
263,5678,2636,596280.03,11.63,36,Closed
264,5178,3694,800337.85,6.35,60,Closed
265,1032,10355,708384.89,6.19,36,Active
266,8271,13887,262217.05,3.09,24,Active
267,2854,14988,802260.64,8.94,36,Closed
268,3303,6133,467726.72,8.81,60,Active
269,8601,9660,319875.03,8.0,24,Active
270,822,6551,590407.76,9.79,48,Default
271,3499,2010,998555.55,13.77,12,Active
272,4681,4511,19978.18,3.96,12,Closed
273,6130,5409,140191.44,9.5,60,Closed
274,9663,12425,505743.98,7.07,60,Active
275,9005,6191,330125.7,6.04,36,Active
276,1321,12915,794394.84,6.9,12,Default
277,9470,465,71808.57,8.51,60,Active
278,3354,2462,321604.66,4.81,24,Default
279,508,4013,293606.99,11.61,36,Active
280,2608,5105,415600.28,14.96,12,Closed
281,6948,4131,887713.77,3.67,48,Active
282,5136,2653,151696.2,9.06,12,Default
283,5416,3577,781356.77,3.0,12,Active
284,5353,12182,52475.3,13.77,60,Closed
285,3796,4656,500226.94,14.95,48,Active
286,7542,13694,297062.5,12.44,12,Active
287,9643,1581,194105.16,14.53,36,Closed
288,9676,6595,819990.9,4.87,48,Closed
289,9770,3667,784777.69,12.36,60,Closed
290,3548,7127,302710.83,3.49,48,Active
291,5222,12420,525423.56,13.68,24,Active
292,2907,5382,958895.87,5.31,36,Default
293,8493,6800,540750.97,10.11,24,Active
294,247,13698,375035.74,14.06,48,Active
295,9969,10183,542096.06,8.07,24,Active
296,6664,2915,738824.03,6.41,36,Closed
297,4329,8448,283009.78,13.52,36,Active
298,6746,3372,796764.71,3.43,60,Active
299,6058,12553,788566.0,5.52,60,Active
300,9705,5765,811469.81,10.3,12,Closed
301,1608,5912,190399.48,4.21,12,Active
302,1892,9890,961685.06,12.36,24,Default
303,3738,2858,446074.11,12.11,12,Closed
304,5880,2930,702574.18,14.69,60,Active
305,1725,3528,132950.99,12.02,24,Default
306,6924,12681,648668.28,10.43,48,Closed
307,9499,12337,353633.36,11.27,12,Active
308,8819,284,421267.68,9.61,60,Default
309,9888,2273,661198.49,4.61,36,Default
310,2173,803,30426.31,4.99,36,Active
311,4555,6381,869443.03,12.58,12,Default
312,73,5969,288658.33,7.88,48,Default
313,2430,10927,159404.33,13.95,12,Closed
314,3340,3047,368412.28,3.2,60,Closed
315,6825,6634,305153.09,11.81,24,Active
316,4406,12430,246068.95,11.46,36,Active
317,8234,12063,569461.09,8.52,24,Default
318,390,8343,432603.4,9.98,48,Default
319,6858,6493,746653.13,9.67,12,Default
320,1915,3742,889604.67,10.2,12,Closed
321,1852,8913,228534.4,5.23,36,Closed
322,808,14877,594901.98,12.98,36,Default
323,3784,1503,539339.25,13.99,48,Default
324,2831,13028,653424.25,5.7,60,Closed
325,8364,8715,37449.56,12.93,60,Default
326,7683,3059,326498.19,9.01,60,Active
327,505,13638,763354.37,3.67,24,Closed
328,7869,6323,932627.68,7.2,24,Active
329,5685,11725,781125.6,7.88,36,Closed
330,9499,7682,200933.27,3.48,60,Default
331,7009,3581,124751.18,5.99,24,Default
332,7693,8570,659531.01,12.77,24,Default
333,6380,7744,161116.85,9.6,60,Closed
334,1457,9624,563937.67,9.82,60,Closed
335,7286,7735,160298.73,13.39,24,Active
336,362,2309,345534.52,5.19,24,Default
337,9717,13537,302672.91,6.56,48,Closed
338,4465,4454,46730.65,10.58,48,Active
339,3774,9119,38157.24,6.87,24,Default
340,1584,9474,786168.21,4.81,24,Active
341,2130,13275,144844.43,7.82,24,Closed
342,701,6070,218740.16,14.57,36,Active
343,3868,12920,822292.2,5.97,12,Closed
344,776,11134,156979.6,11.29,48,Default
345,4636,8003,376828.64,3.66,24,Default
346,7665,14658,543947.52,9.84,36,Closed
347,8906,14770,623780.72,9.07,36,Closed
348,7337,12384,688699.82,11.36,60,Default
349,4845,2792,174479.18,8.43,48,Default
350,8349,12912,771771.1,7.76,60,Closed
351,8965,8769,878840.58,9.56,12,Active
352,2931,226,102300.6,7.79,12,Default
353,8805,12719,298839.94,10.0,48,Active
354,9559,10395,238879.1,5.33,24,Closed
355,3035,11047,401066.48,7.32,12,Default
356,8264,13027,107070.58,5.56,12,Active
357,4352,1531,802484.87,9.96,24,Default
358,3936,7383,265048.76,14.58,36,Default
359,9010,3222,36441.11,4.1,12,Default
360,8166,3714,606857.12,6.75,48,Active
361,9479,2779,799998.56,4.6,60,Default
362,2785,2178,399539.44,11.4,24,Active
363,6895,8613,273018.65,9.04,36,Active
364,8025,13612,40985.8,9.94,60,Default
365,8309,8354,248318.94,3.42,12,Active
366,9372,2498,502248.54,9.28,36,Active
367,4057,1408,547747.2,9.59,12,Closed
368,6399,2443,959317.45,10.14,48,Closed
369,9080,3195,280717.53,14.53,36,Active
370,7677,6443,188358.57,14.19,12,Default
371,5408,9620,541390.03,7.23,12,Default
372,1481,8887,370787.24,6.68,24,Active
373,9101,9565,160041.88,12.53,60,Default
374,875,11812,843454.81,12.62,36,Default
375,1019,2703,262926.83,10.97,60,Active
376,6580,7298,513166.09,9.49,12,Default
377,4218,14098,931912.58,7.31,36,Closed
378,7487,446,552641.11,13.32,60,Closed
379,528,4199,21841.0,4.77,12,Active
380,4583,5,518821.23,5.32,24,Active
381,9654,1663,365389.63,11.89,24,Active
382,2620,4712,665943.35,11.83,60,Closed
383,645,10501,663703.26,14.3,12,Active
384,8345,10833,106667.95,10.97,36,Active
385,3108,8905,878694.07,3.14,12,Default
386,5401,12098,192022.62,14.94,48,Default
387,2422,14581,843900.39,14.1,48,Closed
388,3002,10205,819568.16,14.38,12,Closed
389,3977,8942,527014.12,6.77,24,Default
390,2781,10707,185076.28,8.03,12,Active
391,9294,10540,186079.19,3.29,24,Closed
392,8106,9319,271104.05,7.03,24,Closed
393,6822,4976,864484.55,13.79,36,Active
394,9948,4475,17870.64,10.38,24,Active
395,2264,11319,85845.15,14.03,36,Closed
396,3962,1582,78065.77,4.54,24,Active
397,7736,4093,323895.02,6.55,24,Closed
398,7023,11740,509199.24,4.07,60,Closed
399,1676,14537,187223.65,9.76,48,Default
400,2971,11025,496138.7,8.29,36,Default
401,4962,7445,749301.67,3.29,60,Closed
402,2572,12735,83236.44,13.31,48,Default
403,7274,9686,77676.58,11.0,24,Default
404,339,8003,992611.76,3.49,12,Default
405,5345,3317,17090.8,12.08,48,Default
406,1212,7780,269880.01,9.04,60,Closed
407,8745,5217,88147.59,8.77,36,Closed
408,2846,3401,729367.07,6.67,36,Default
409,2254,10215,887617.12,12.31,12,Default
410,5444,6731,78933.05,7.68,36,Active
411,226,52,483362.46,14.9,60,Default
412,9520,10271,777550.55,7.49,24,Closed
413,1959,7931,228880.77,13.16,24,Active
414,7032,7519,949296.85,11.38,24,Default
415,8776,13813,166062.84,11.78,36,Default
416,7620,3969,532208.37,3.55,60,Active
417,6196,7526,76817.69,7.62,60,Active
418,5317,4673,827557.86,7.7,12,Closed
419,6468,8139,549531.66,9.16,36,Default
420,9838,7569,730470.69,11.17,12,Default
421,7203,5602,35536.04,10.09,60,Default
422,1487,9849,600923.25,9.66,12,Default
423,9944,1669,908148.94,3.28,36,Default
424,4328,11321,429347.7,11.27,36,Closed
425,7686,14728,909270.17,3.86,12,Default
426,200,7274,791548.62,14.51,12,Active
427,2355,8880,964209.29,7.17,60,Default
428,7788,8939,483864.17,9.35,12,Closed
429,9798,7861,189614.3,9.5,24,Default
430,6899,14571,942501.32,6.16,48,Default
431,3294,4509,671560.53,11.89,60,Default
432,6626,9928,755425.78,6.46,36,Closed
433,3621,4979,991283.69,6.05,12,Active
434,910,9186,477925.83,3.16,60,Active
435,4122,3396,179051.41,8.63,36,Closed
436,9457,2129,563462.88,9.5,36,Closed
437,1529,6345,659241.45,3.07,60,Closed
438,8575,5901,942935.16,5.21,48,Closed
439,5714,8997,837671.11,12.75,36,Default
440,614,14974,519847.85,7.1,36,Closed
441,54,3115,526449.16,6.94,60,Closed
442,4477,5515,636216.78,12.77,24,Default
443,8379,3154,204469.56,5.25,48,Default
444,9859,1622,762266.84,5.72,60,Closed
445,399,6536,431998.59,13.03,60,Closed
446,2986,455,876661.93,4.91,24,Closed
447,5965,8835,429161.86,12.47,24,Active
448,4990,8751,182881.78,6.88,36,Closed
449,7142,3017,872472.05,4.01,24,Default
450,2558,6178,199232.41,12.41,24,Active
451,1071,6432,305306.66,7.43,60,Default
452,2760,11296,820607.49,10.8,12,Default
453,7055,5772,593037.15,12.64,36,Closed
454,8522,2385,245100.79,10.26,24,Default
455,9148,14481,610839.5,7.62,12,Closed
456,1536,5146,666756.61,7.01,12,Closed
457,9860,14753,446628.17,10.95,36,Closed
458,4926,14090,974570.65,5.62,24,Active
459,1503,1383,886518.86,10.48,12,Default
460,6020,1376,473111.33,13.24,24,Closed
461,1320,13079,223273.17,9.0,12,Closed
462,7145,5728,781309.13,8.3,36,Active
463,3720,3441,923685.06,5.05,60,Default
464,6771,12436,343738.72,9.0,12,Default
465,3053,14634,579048.94,3.53,24,Closed
466,2849,12531,248322.63,9.6,48,Default
467,9566,13752,909270.36,9.68,36,Default
468,8489,6856,579029.67,4.23,60,Default
469,819,909,747855.38,13.89,24,Active
470,139,6761,286205.47,11.09,48,Active
471,4868,14974,203000.27,3.32,36,Default
472,1266,3654,434327.68,9.65,12,Closed
473,2939,3153,544080.09,8.76,48,Default
474,3492,14980,69638.97,10.76,24,Closed
475,9248,2008,191435.13,7.64,48,Default
476,8136,2928,167099.79,5.2,60,Active
477,7907,12117,556713.04,3.05,36,Active
478,5871,13841,343337.74,9.8,60,Active
479,446,7045,517356.44,5.28,48,Active
480,5359,13208,976247.56,14.93,12,Closed
481,678,8202,692026.98,5.22,12,Closed
482,21,13561,467700.06,9.56,48,Active
483,6127,2850,372263.04,8.49,48,Closed
484,8828,2988,495089.46,12.51,24,Closed
485,2092,6483,414280.48,8.08,12,Default
486,3564,4901,751678.26,3.49,60,Closed
487,7346,12495,318358.66,6.19,48,Default
488,8804,8175,583746.29,11.23,12,Closed
489,6016,1439,632622.64,5.46,36,Closed
490,8230,8134,910810.95,4.24,48,Active
491,6468,1340,436408.26,5.09,60,Closed
492,4295,6161,563323.14,4.98,12,Default
493,4052,8884,14739.29,11.63,12,Default
494,4230,14245,64658.54,11.3,48,Active
495,3026,7552,391167.98,13.43,24,Default
496,3207,12951,980496.05,3.86,36,Default
497,8818,5944,389261.33,14.21,60,Default
498,7219,4906,748941.5,8.34,12,Default
499,2201,962,852282.65,12.23,24,Active
500,5574,1430,814143.97,8.19,12,Closed
501,5050,5484,526385.65,6.23,12,Default
502,8793,5604,975042.33,3.7,24,Closed
503,1415,35,315679.06,7.47,12,Closed
504,5543,7289,709626.64,9.51,60,Closed
505,5520,13707,351747.73,9.93,24,Active
506,6295,14881,661766.14,6.17,12,Closed
507,399,7489,368315.72,9.68,48,Closed
508,4131,12872,588581.47,6.58,12,Closed
509,9485,8019,751635.48,4.05,24,Default
510,7937,5718,183661.86,11.31,60,Closed
511,5540,3857,169426.94,13.69,36,Active
512,5750,13772,169584.0,3.12,12,Active
513,546,7234,633912.45,9.68,60,Default
514,3206,11083,236727.39,13.31,60,Active
515,5763,6886,614108.38,13.12,48,Default
516,3680,5196,739296.11,10.06,24,Closed
517,5492,1137,476538.63,5.51,24,Closed
518,8975,5429,715700.62,12.21,24,Active
519,5198,684,59213.69,11.27,60,Closed
520,3873,12279,251631.18,5.64,24,Closed
521,641,62,406789.55,9.81,60,Default
522,9937,10970,620873.81,4.81,24,Closed
523,7488,4117,36952.36,7.52,36,Default
524,2666,4642,830129.65,8.31,36,Closed
525,648,7130,630970.74,6.65,48,Closed
526,2922,13149,736523.27,14.57,36,Active
527,9934,13463,795590.75,7.57,24,Active
528,7426,4956,105321.39,5.05,24,Active
529,3491,10635,676978.77,6.4,24,Closed
530,518,7954,976448.93,10.88,24,Closed
531,5166,8874,883298.22,3.22,12,Default
532,7375,3574,249871.66,9.92,60,Active
533,3094,4477,107340.26,8.07,24,Active
534,3605,11833,740320.83,8.22,24,Active
535,6936,2453,195878.16,9.05,12,Active
536,2638,6873,422902.77,9.6,12,Default
537,2885,10799,675051.24,13.28,48,Closed
538,6948,4218,923399.42,13.5,36,Default
539,5882,191,463557.81,13.1,36,Active
540,3074,13196,52061.04,11.83,24,Closed
541,6793,4885,919208.89,7.24,12,Closed
542,6357,12407,654451.44,6.02,60,Default
543,9970,13337,691900.8,5.23,60,Default
544,9395,6333,788278.76,5.35,60,Closed
545,592,12556,982161.36,3.01,12,Active
546,2153,14637,480019.03,7.83,36,Default
547,5888,3586,597787.66,12.14,12,Default
548,9735,1023,468932.1,8.06,24,Default
549,2912,7951,498339.76,7.55,24,Closed
550,4737,5523,762525.48,6.7,60,Closed
551,1500,9604,803579.9,12.37,60,Closed
552,9362,1678,427412.04,7.22,12,Closed
553,2262,11269,665353.43,9.33,60,Closed
554,6364,9971,648729.2,6.49,12,Active
555,6965,5567,658818.64,9.66,36,Closed
556,8652,8883,387821.3,7.63,60,Active
557,5315,8424,265878.0,9.81,36,Closed
558,3264,1480,728252.08,12.3,24,Default
559,5387,3627,862570.75,7.18,60,Closed
560,6280,10130,622236.82,10.26,60,Active
561,1533,1995,872654.34,7.6,36,Closed
562,3968,2772,492027.25,3.48,24,Default
563,4351,6474,822730.37,14.79,12,Closed
564,3713,13381,394445.93,11.92,36,Active
565,3815,3242,285495.11,14.29,36,Default
566,368,8964,512491.58,10.26,48,Default
567,6539,2379,224139.2,13.71,36,Active
568,3355,14463,469530.66,9.32,48,Default
569,6746,7575,777578.85,5.51,12,Default
570,9866,11627,761613.19,7.59,12,Closed
571,9777,3454,184606.83,13.87,36,Active
572,256,5667,611656.75,14.78,48,Closed
573,2479,8037,953949.99,12.52,24,Active
574,5245,6838,98163.37,6.77,36,Closed
575,6505,10723,361496.22,3.0,60,Active
576,9240,8044,603422.83,3.81,12,Active
577,3382,4035,536109.51,7.13,24,Closed
578,4941,4410,880331.36,5.44,60,Default
579,7934,10441,666521.91,11.21,36,Closed
580,4898,9939,807171.79,7.1,48,Active
581,5003,14110,484243.36,4.52,24,Closed
582,2489,2214,166770.23,10.7,48,Default
583,5251,2055,939171.1,13.38,36,Active
584,9860,11168,167899.45,6.76,12,Active
585,5718,474,445509.35,4.83,12,Active
586,8496,3991,320604.35,5.75,60,Active
587,3927,4893,643263.49,7.17,24,Default
588,1520,1120,620955.68,11.93,48,Default
589,3233,7595,649670.59,11.24,12,Default
590,8025,4002,102216.82,8.76,12,Default
591,4058,1478,705413.57,13.69,60,Active
592,3232,13742,234716.48,5.75,48,Active
593,826,10018,730723.0,3.64,24,Active
594,9663,5036,709075.56,14.05,12,Closed
595,2603,4186,440686.23,11.05,48,Closed
596,1616,3193,477013.6,6.56,48,Active
597,4468,10983,878352.63,12.58,60,Closed
598,302,11657,246462.44,8.08,48,Default
599,7835,11343,509657.86,13.3,24,Default
600,1024,5012,501070.67,14.18,12,Active
601,6129,14626,814572.71,3.8,48,Default
602,8817,3423,512955.1,6.93,12,Default
603,8472,129,807141.46,10.42,24,Active
604,1929,13592,778244.61,5.43,48,Active
605,1557,4261,122266.55,13.1,24,Active
606,923,9653,305543.64,4.5,60,Default
607,863,4827,732746.25,11.2,36,Closed
608,7735,6370,625038.3,14.39,24,Active
609,4634,13596,317849.02,8.14,36,Closed
610,4807,3450,210807.83,4.82,24,Default
611,6629,7065,392207.13,10.66,60,Default
612,6306,7956,90393.46,13.65,60,Closed
613,4354,2034,384656.47,8.35,48,Closed
614,9278,9105,22275.35,9.27,12,Closed
615,7334,9945,129559.32,4.76,36,Closed
616,4875,12037,98773.99,13.62,24,Closed
617,7461,10695,853427.0,9.54,60,Default
618,7380,369,774533.91,9.23,24,Closed
619,2095,6024,369811.33,6.68,12,Closed
620,1289,14854,71459.14,13.78,48,Default
621,1475,13895,849513.06,3.33,48,Active
622,5371,6102,791356.3,11.12,12,Default
623,2423,4534,577251.39,10.34,36,Default
624,2924,5992,380693.34,3.1,48,Active
625,5465,12853,531167.62,6.79,36,Closed
626,4714,9357,294900.46,5.94,60,Active
627,9200,14330,646874.21,3.63,12,Active
628,264,4052,360644.73,6.48,24,Closed
629,6082,13820,541915.03,13.82,48,Closed
