merchant_id,merchant_name,category,city
132,"Thomas, Waters and Palmer",Shopping,Can Tho
133,Sims Ltd,Hotel,Hue
134,Raymond LLC,Shopping,Hanoi
135,"Young, Miller and Young",Hotel,Da Nang
136,Mathis-Barron,Shopping,Ho Chi Minh
137,Vasquez PLC,Coffee,Hue
138,"Douglas, Brandt and Wood",Restaurant,Ho Chi Minh
139,Hicks-Mccann,Supermarket,Ho Chi Minh
140,Willis-Cooley,Airline,Da Nang
141,Miller Group,Shopping,Da Nang
142,Washington-Carr,Fuel,Hue
143,Schroeder LLC,Coffee,Ho Chi Minh
144,Russell LLC,Shopping,Hai Phong
145,"Alvarez, Woods and Day",Shopping,Hai Phong
146,"Wright, Moss and Hines",Shopping,Da Nang
147,"Ortega, Strickland and Yu",Restaurant,Hanoi
148,Swanson-Thomas,Shopping,Hai Phong
149,Daniel Group,Hospital,Da Nang
150,Dominguez LLC,Hospital,Ho Chi Minh
151,Berg-White,Hotel,Hai Phong
152,Cameron-Adams,Fuel,Hue
153,Rojas and Sons,Hotel,Hai Phong
154,Petersen-White,Airline,Hanoi
155,Foster LLC,Fuel,Hue
156,Valencia-Logan,Shopping,Hai Phong
157,"Rubio, Torres and Gibson",Hotel,Hue
158,Mills and Sons,Fuel,Ho Chi Minh
159,Shelton Group,Supermarket,Can Tho
160,Santiago Inc,Fuel,Ho Chi Minh
161,Knox-Reese,Hotel,Hanoi
162,Hill-Christensen,Hospital,Da Nang
163,Perry-Strong,Hospital,Hue
164,"Newton, Anderson and Green",Shopping,Hanoi
165,"Ford, Robertson and Le",Hospital,Hanoi
166,"Miller, Trevino and Rogers",Coffee,Can Tho
167,Ward Inc,Hospital,Ho Chi Minh
168,Gomez and Sons,Shopping,Hanoi
169,Meyer Inc,Restaurant,Hai Phong
170,Gutierrez Ltd,Airline,Can Tho
171,Hernandez Ltd,Hotel,Da Nang
172,Johnson-Hanson,Airline,Hai Phong
173,Anderson-Shepard,Airline,Da Nang
174,Maldonado and Sons,Supermarket,Da Nang
175,Ball Inc,Airline,Hai Phong
176,Hernandez-White,Supermarket,Ho Chi Minh
177,Smith and Sons,Coffee,Can Tho
178,"Howell, Clark and Hamilton",Airline,Hanoi
179,"Travis, Anderson and Phillips",Supermarket,Hai Phong
180,Chang Inc,Shopping,Can Tho
181,"Hayes, Walker and Hayden",Supermarket,Hue
182,Foster-James,Fuel,Hanoi
183,"Parks, Campos and Peters",Hospital,Hanoi
184,Thomas-Reeves,Airline,Can Tho
185,"Smith, Davis and Stewart",Restaurant,Hai Phong
186,"Howe, Hunt and Leonard",Coffee,Hanoi
187,"Bell, Fisher and Williams",Coffee,Hue
188,"Castillo, Stephens and Bailey",Hotel,Hai Phong
189,"Christensen, Ballard and Davis",Airline,Hai Phong
190,Berger PLC,Shopping,Hanoi
191,Russell-Gould,Hospital,Da Nang
192,"Miller, Mendoza and Luna",Fuel,Hai Phong
193,Gutierrez LLC,Coffee,Da Nang
194,Garza Group,Restaurant,Da Nang
195,Patton and Sons,Hotel,Da Nang
196,"Flores, Munoz and Gonzalez",Restaurant,Hue
197,Bowen Group,Hotel,Can Tho
198,Beltran LLC,Airline,Hue
199,Reed Ltd,Supermarket,Hai Phong
200,Mcintosh-Collins,Hotel,Hue
201,Taylor-Osborn,Supermarket,Hue
202,Ryan Group,Airline,Hue
203,"Fisher, Johnson and Hood",Fuel,Ho Chi Minh
204,Roberts-Anderson,Hotel,Hanoi
205,Gray LLC,Shopping,Ho Chi Minh
206,"Brown, Davis and Jones",Restaurant,Hue
207,"Taylor, Martinez and Jennings",Airline,Da Nang
208,"Spears, Gregory and Sanchez",Supermarket,Hue
209,"Lee, Hill and Craig",Restaurant,Ho Chi Minh
210,Reeves Group,Hospital,Hanoi
211,Schmidt-Murphy,Restaurant,Hue
212,"Carrillo, James and Hughes",Supermarket,Hanoi
213,"Bradley, King and Hughes",Fuel,Can Tho
214,Adams-Harris,Fuel,Can Tho
215,Santos PLC,Hotel,Hai Phong
216,"Esparza, Walker and Watson",Airline,Da Nang
217,Giles-Burgess,Supermarket,Da Nang
218,Walker LLC,Supermarket,Hai Phong
219,Irwin LLC,Supermarket,Hai Phong
220,Adkins Group,Hospital,Hanoi
221,"King, Bell and Rivera",Fuel,Hue
222,Hamilton-Simmons,Shopping,Ho Chi Minh
223,Elliott-Miller,Shopping,Hai Phong
224,Flowers PLC,Airline,Da Nang
225,Knapp-Thomas,Hotel,Hue
226,Foster-Webb,Coffee,Hanoi
227,Foley-Smith,Hotel,Ho Chi Minh
228,Yu-Howard,Hospital,Hanoi
229,"Norman, Hernandez and Peters",Hotel,Hai Phong
230,"Donaldson, Barker and Davis",Coffee,Da Nang
231,"Hunt, Ward and Bender",Supermarket,Hai Phong
232,Baker Inc,Fuel,Hanoi
233,"White, Mitchell and Andrade",Supermarket,Hanoi
234,"Lewis, Hendricks and Rosario",Coffee,Hanoi
235,"Smith, Weeks and House",Airline,Can Tho
236,"Kelly, Byrd and Medina",Coffee,Hanoi
237,Simmons Group,Hospital,Can Tho
238,Hansen-Chang,Shopping,Ho Chi Minh
239,Bryan Inc,Supermarket,Can Tho
240,Cohen-Johns,Airline,Da Nang
241,"Mitchell, Barrett and Snow",Shopping,Hanoi
242,Moran Ltd,Shopping,Hanoi
243,"Blake, Larson and Bridges",Coffee,Can Tho
244,Romero Inc,Fuel,Can Tho
245,Cannon and Sons,Hotel,Hai Phong
246,Hawkins-Chan,Hospital,Hue
247,"Hunt, Johnson and Phillips",Hospital,Can Tho
248,"Cooper, Fischer and Swanson",Hospital,Hue
249,Jenkins-Davis,Supermarket,Hai Phong
250,"Rodriguez, Brown and Price",Fuel,Hanoi
251,Kline-Pena,Supermarket,Hanoi
252,Garcia-Austin,Hotel,Ho Chi Minh
253,Romero Group,Restaurant,Da Nang
254,Yoder-Day,Airline,Ho Chi Minh
255,Jimenez-Aguirre,Fuel,Hai Phong
256,"Kline, Miller and Figueroa",Shopping,Hai Phong
257,"Ellison, Adams and Lynch",Hotel,Can Tho
258,West Group,Fuel,Ho Chi Minh
259,"Ramos, Stevens and Aguilar",Coffee,Da Nang
260,Short-Diaz,Airline,Hue
261,Holt-Tate,Supermarket,Hai Phong
262,Ward-Bradley,Hotel,Can Tho
263,King and Sons,Hotel,Hai Phong
264,"Gibbs, Gallagher and Moore",Shopping,Can Tho
265,Garrison Ltd,Shopping,Hanoi
266,Weaver Group,Coffee,Hai Phong
267,Wiggins-Weaver,Restaurant,Ho Chi Minh
268,Lee-Swanson,Hotel,Hai Phong
269,"Hanna, Jarvis and Wheeler",Supermarket,Hue
270,"Ward, Gregory and Black",Hotel,Can Tho
271,Smith-Leonard,Fuel,Hai Phong
272,"Wagner, Brown and Williams",Airline,Hanoi
273,Tapia-Edwards,Airline,Can Tho
274,"Ramirez, Nelson and Alexander",Coffee,Hue
275,"Daniels, Wilson and Mendoza",Airline,Hue
276,Arellano-Crosby,Airline,Hai Phong
277,"Roberts, Nelson and Long",Supermarket,Can Tho
278,"Hayes, Watson and Ross",Restaurant,Da Nang
279,Williamson Inc,Shopping,Can Tho
280,"Silva, Miller and Flores",Hospital,Hai Phong
281,Reid and Sons,Shopping,Can Tho
282,"Brewer, Thornton and Best",Shopping,Hanoi
283,"Gates, Huynh and Vasquez",Supermarket,Can Tho
284,Cameron-Lucas,Restaurant,Hue
285,Levine Inc,Hospital,Hue
286,"Duncan, Ewing and Howard",Coffee,Ho Chi Minh
287,Wilson-Edwards,Restaurant,Hue
288,Hanson-Davis,Shopping,Can Tho
289,"Sims, Bond and Bell",Fuel,Da Nang
290,Brown Group,Coffee,Hanoi
291,"Wade, Burch and Powell",Shopping,Hanoi
292,Schmidt Group,Coffee,Ho Chi Minh
293,Moore-Rodgers,Airline,Hai Phong
294,Sullivan Group,Hotel,Hai Phong
295,Hester and Sons,Supermarket,Ho Chi Minh
296,Franklin-Gonzalez,Airline,Hai Phong
297,"Coffey, Williams and Dennis",Coffee,Ho Chi Minh
298,Armstrong Group,Hospital,Ho Chi Minh
299,Macias and Sons,Shopping,Hanoi
300,"Acosta, Bennett and Cruz",Restaurant,Hanoi
301,"Evans, Oliver and Simpson",Supermarket,Da Nang
302,Graves-Palmer,Airline,Hue
303,"Escobar, Edwards and Lopez",Restaurant,Hanoi
304,Juarez and Sons,Restaurant,Can Tho
305,Gomez-Ward,Fuel,Ho Chi Minh
306,Randolph PLC,Shopping,Hai Phong
307,Curry-Patterson,Hospital,Da Nang
308,Johnson Group,Hotel,Ho Chi Minh
309,Sosa and Sons,Supermarket,Da Nang
310,Clark-Brown,Fuel,Hai Phong
311,Lynch-Cortez,Coffee,Can Tho
312,"Walker, Rodriguez and Lewis",Fuel,Can Tho
313,Cook Inc,Hotel,Hue
314,"Aguilar, Cohen and Brown",Restaurant,Hue
315,"Stone, Barrett and Taylor",Hospital,Da Nang
316,Guzman Ltd,Restaurant,Hue
317,Pineda-Smith,Supermarket,Hanoi
318,"Walter, Gonzales and Thompson",Fuel,Ho Chi Minh
319,Wilson PLC,Airline,Can Tho
320,Anderson-Bishop,Restaurant,Can Tho
321,"Hernandez, Bell and Hernandez",Restaurant,Hue
322,Campos PLC,Supermarket,Hue
323,Cook PLC,Supermarket,Hanoi
324,Petty Ltd,Airline,Hue
325,Rivera LLC,Hospital,Can Tho
326,Hubbard Ltd,Fuel,Can Tho
327,"Wilcox, Adkins and Henderson",Fuel,Hai Phong
328,"Martin, Douglas and Glass",Hospital,Ho Chi Minh
329,Richardson LLC,Restaurant,Hue
330,Lucas and Sons,Hospital,Can Tho
331,Johns and Sons,Shopping,Hai Phong
332,"Valencia, Mason and Monroe",Coffee,Can Tho
333,Davis-Martin,Coffee,Hanoi
334,Lawrence-Williams,Coffee,Can Tho
335,Sullivan-Frazier,Coffee,Hai Phong
336,Ross-Elliott,Airline,Ho Chi Minh
337,Quinn Inc,Fuel,Hue
338,Johnson PLC,Airline,Ho Chi Minh
339,"Jacobs, Anderson and Howard",Restaurant,Hanoi
340,Watts PLC,Fuel,Hue
341,"Vasquez, Phillips and Ryan",Supermarket,Hanoi
342,"Mitchell, Patel and Costa",Shopping,Can Tho
343,"Malone, Peterson and Adams",Fuel,Hanoi
344,Walter Ltd,Airline,Hue
345,"Walker, Navarro and Ramsey",Shopping,Can Tho
346,"Carter, French and Santana",Supermarket,Can Tho
347,Owens-Watson,Supermarket,Da Nang
348,Vaughn-Freeman,Shopping,Da Nang
349,Strickland-Horne,Shopping,Hanoi
350,Morrison-Russo,Shopping,Da Nang
351,Snyder-Young,Hospital,Da Nang
352,"Mckenzie, Miller and Barnes",Shopping,Hanoi
353,Warren Ltd,Fuel,Can Tho
354,Diaz LLC,Hotel,Ho Chi Minh
355,Moore-Johnson,Hotel,Hue
356,Turner-Roberts,Coffee,Can Tho
357,Gutierrez-Wolf,Hospital,Can Tho
358,Gomez-Anderson,Coffee,Hai Phong
359,King LLC,Restaurant,Can Tho
360,"Hill, Hamilton and Hill",Hospital,Ho Chi Minh
361,"Frank, Walker and Tate",Coffee,Da Nang
362,"Vega, Cook and Higgins",Coffee,Da Nang
363,Mays LLC,Hotel,Hai Phong
364,"Moreno, Thomas and Gonzales",Supermarket,Hanoi
365,"Mcconnell, Gomez and Sanchez",Airline,Hue
366,Edwards-Bullock,Supermarket,Da Nang
367,"Miller, Wallace and Campbell",Restaurant,Hai Phong
368,Martinez-Williams,Coffee,Hanoi
369,"Stanley, Arnold and Flores",Shopping,Da Nang
370,"Mcgee, Rodriguez and Figueroa",Restaurant,Hai Phong
371,Davis and Sons,Fuel,Hue
372,"Jones, Young and Garrett",Airline,Da Nang
373,Shaffer-Stephens,Restaurant,Hai Phong
374,"King, King and Clayton",Supermarket,Ho Chi Minh
375,King-Schultz,Supermarket,Can Tho
376,French-Jackson,Restaurant,Da Nang
377,Bond LLC,Supermarket,Hanoi
378,Williams-Fisher,Fuel,Hai Phong
379,Contreras-Sanchez,Shopping,Da Nang
380,Flores Inc,Coffee,Hai Phong
381,"Carlson, Hall and Bradshaw",Hospital,Hanoi
382,Turner LLC,Supermarket,Ho Chi Minh
383,Graves-Cooper,Hotel,Ho Chi Minh
384,"Clark, Evans and Roberts",Airline,Ho Chi Minh
385,"Estrada, Lewis and Swanson",Restaurant,Ho Chi Minh
386,Armstrong-Harvey,Airline,Hai Phong
387,Barr-Delgado,Hotel,Ho Chi Minh
388,Lucas PLC,Restaurant,Hai Phong
389,"Palmer, Martin and Gonzalez",Restaurant,Hai Phong
390,Peterson Ltd,Hotel,Ho Chi Minh
391,Spears-Wilkerson,Airline,Hue
392,Allen-Krueger,Supermarket,Hanoi
393,Fowler-Kelly,Fuel,Hai Phong
394,Nicholson and Sons,Hotel,Can Tho
395,Olson-Garrett,Hospital,Da Nang
396,White-Perkins,Fuel,Hanoi
397,Roberts PLC,Coffee,Hai Phong
398,Gonzalez-Ramirez,Fuel,Da Nang
399,Keller Ltd,Fuel,Hue
400,Powell-Ross,Hotel,Ho Chi Minh
401,Miranda PLC,Restaurant,Hue
402,Dunn-Rose,Restaurant,Da Nang
403,"Wright, Blevins and Campbell",Fuel,Hanoi
404,Villanueva-Gomez,Hospital,Hanoi
405,Medina-Hanson,Shopping,Hanoi
406,Serrano-Atkinson,Restaurant,Da Nang
407,Schaefer LLC,Coffee,Ho Chi Minh
408,Bartlett-Hendricks,Airline,Da Nang
409,"Hart, Mcdaniel and Morales",Fuel,Hai Phong
410,"Vaughn, Clark and Smith",Supermarket,Ho Chi Minh
411,Stevens-Weeks,Airline,Da Nang
412,Smith and Sons,Supermarket,Hanoi
413,"Clayton, Garrison and Walters",Fuel,Da Nang
414,Warren and Sons,Airline,Ho Chi Minh
415,"Hicks, Banks and Maxwell",Restaurant,Hanoi
416,"Collins, Horton and Sherman",Restaurant,Da Nang
417,Wagner PLC,Coffee,Hanoi
418,Rodriguez-Arnold,Coffee,Ho Chi Minh
419,"Coleman, Sanchez and Gordon",Coffee,Ho Chi Minh
420,Green Group,Hospital,Ho Chi Minh
421,"Burns, Powers and Green",Restaurant,Can Tho
422,Patterson-Pena,Hospital,Hai Phong
423,"Rodriguez, Bolton and Hall",Coffee,Da Nang
424,"Greene, Brown and Lane",Restaurant,Hue
425,"Cook, Adkins and Horton",Coffee,Hanoi
426,"Mosley, Peterson and Waters",Fuel,Ho Chi Minh
427,"Singleton, Hunt and Franklin",Coffee,Hai Phong
428,"Garcia, Clark and Chan",Shopping,Da Nang
429,"Romero, Craig and Hicks",Hotel,Can Tho
430,Hernandez-Wiley,Hotel,Hue
431,"Mathews, Bryant and Schneider",Supermarket,Hai Phong
432,"Waters, Torres and Smith",Coffee,Hai Phong
433,Alexander-Oliver,Hospital,Hue
434,Lewis-Wilson,Coffee,Can Tho
435,"Alvarado, Michael and Brown",Hotel,Da Nang
436,Richard and Sons,Supermarket,Can Tho
437,"Roberts, Myers and Nolan",Supermarket,Hai Phong
438,"Flores, Buchanan and Zimmerman",Supermarket,Hanoi
439,Williams Inc,Airline,Hanoi
440,Roman and Sons,Hotel,Ho Chi Minh
441,Rodriguez-Moore,Supermarket,Hai Phong
442,Cox LLC,Hospital,Can Tho
443,Freeman and Sons,Restaurant,Ho Chi Minh
444,Thomas-Colon,Coffee,Hue
445,"Salazar, Briggs and Anderson",Supermarket,Hai Phong
446,"Lewis, Ferguson and Williams",Airline,Hai Phong
447,Dixon-Boyd,Hospital,Can Tho
448,"Guerra, Thomas and Boyle",Shopping,Da Nang
449,Garcia-Downs,Airline,Da Nang
450,Anderson-Gibbs,Fuel,Hue
451,"Ray, Hodge and Hutchinson",Shopping,Can Tho
452,"Cole, Williams and Fischer",Fuel,Hue
453,Taylor Group,Hotel,Hue
454,"Thompson, Hill and Gardner",Shopping,Can Tho
455,"West, Mejia and Bell",Hotel,Hanoi
456,"Miller, Gonzalez and Bryant",Airline,Hanoi
457,"Taylor, Oliver and Rivera",Coffee,Ho Chi Minh
458,Carter-Carter,Restaurant,Ho Chi Minh
459,"Andrews, Todd and Robinson",Shopping,Hanoi
460,"Montoya, Carter and Summers",Airline,Hue
461,Clark-Wall,Hospital,Ho Chi Minh
462,"Estrada, Guzman and Harris",Airline,Ho Chi Minh
463,"Robinson, Bolton and Reed",Hospital,Can Tho
464,Fields-Foley,Hotel,Ho Chi Minh
465,Lee-Gross,Coffee,Ho Chi Minh
466,Reynolds and Sons,Airline,Ho Chi Minh
467,Smith and Sons,Hotel,Can Tho
468,Butler-Acevedo,Fuel,Hanoi
469,Herman-Downs,Coffee,Hai Phong
470,Wiley-Bush,Coffee,Can Tho
471,"Andrews, Collins and Blackwell",Hospital,Ho Chi Minh
472,Taylor and Sons,Hotel,Da Nang
473,"Smith, Palmer and Johnson",Airline,Hai Phong
474,"Adams, Jones and Beard",Hotel,Hanoi
475,Butler-Johnson,Shopping,Can Tho
476,"Lowe, Black and Lewis",Hospital,Da Nang
477,Mullins PLC,Hotel,Hai Phong
478,Riddle PLC,Supermarket,Hue
479,Brooks-Carr,Shopping,Hai Phong
480,Vasquez and Sons,Airline,Hanoi
481,"Smith, Day and Parker",Fuel,Can Tho
482,Richardson Inc,Airline,Hanoi
483,"Flores, Moore and Fowler",Coffee,Hanoi
484,Esparza and Sons,Hotel,Hai Phong
485,Allen-Harris,Airline,Hai Phong
486,Page-King,Restaurant,Hai Phong
487,"Ferguson, Martinez and Parks",Hospital,Ho Chi Minh
488,Rhodes-Blackwell,Shopping,Da Nang
489,Wood-Yu,Coffee,Ho Chi Minh
490,Farley-Jones,Coffee,Hai Phong
491,"Miller, Coleman and Benson",Shopping,Can Tho
492,Williams-Powell,Coffee,Ho Chi Minh
493,Jordan and Sons,Hospital,Da Nang
494,"Montgomery, Schwartz and Vaughn",Hotel,Hai Phong
495,Mullen and Sons,Fuel,Ho Chi Minh
496,Davis Inc,Restaurant,Hue
497,Martinez-Arnold,Hotel,Hai Phong
498,Jenkins-Ruiz,Hospital,Hai Phong
499,Miller-Perez,Restaurant,Hai Phong
500,"Perkins, Mendoza and Pearson",Hospital,Hanoi
501,Myers-Bennett,Restaurant,Can Tho
502,"Donaldson, Tran and Pena",Coffee,Hue
503,"Ortiz, Hill and Walker",Fuel,Can Tho
504,Jackson-Swanson,Hotel,Ho Chi Minh
505,Johnson-Olson,Shopping,Da Nang
506,Williams-Jones,Coffee,Hanoi
507,"Glass, Elliott and Thomas",Hotel,Hanoi
508,Miller Group,Airline,Da Nang
509,Curtis Inc,Airline,Ho Chi Minh
510,Hansen-Davis,Supermarket,Ho Chi Minh
511,George LLC,Hospital,Can Tho
512,Mills-Kemp,Restaurant,Hai Phong
513,Hudson-Evans,Hotel,Ho Chi Minh
514,Brown-Burch,Coffee,Can Tho
515,Mitchell Group,Airline,Ho Chi Minh
516,Rivera PLC,Supermarket,Can Tho
517,Horne-Odonnell,Coffee,Hanoi
518,"Bailey, Cox and Shannon",Fuel,Hue
519,Alexander PLC,Fuel,Ho Chi Minh
520,King PLC,Airline,Hai Phong
521,"Miller, Patterson and Snyder",Hospital,Ho Chi Minh
522,Buchanan-Berry,Airline,Da Nang
523,Levy and Sons,Fuel,Da Nang
524,"Williams, Robinson and Schmidt",Hotel,Hai Phong
525,Brown-Harris,Hospital,Can Tho
526,"Fitzpatrick, Terry and Dougherty",Coffee,Hue
527,Sanders LLC,Airline,Hue
528,Ramos PLC,Hospital,Ho Chi Minh
529,Lee LLC,Hospital,Hai Phong
530,Graham-Davenport,Airline,Hue
531,"Patterson, Carter and Fox",Shopping,Da Nang
532,Dunn PLC,Airline,Hue
533,"White, Hayes and Griffin",Fuel,Can Tho
534,Simmons Inc,Airline,Ho Chi Minh
535,Lewis PLC,Hospital,Hue
536,Graham-Hester,Hotel,Hanoi
537,Fuller Group,Hotel,Hue
538,"Carlson, Jones and Ruiz",Airline,Hue
539,Cook PLC,Fuel,Can Tho
540,Bishop-Howe,Fuel,Hue
541,"Carroll, Willis and Galloway",Airline,Da Nang
542,Esparza-Miller,Restaurant,Hai Phong
543,Flynn LLC,Restaurant,Hue
544,Rivera-Peterson,Restaurant,Hai Phong
545,"Castillo, Christensen and Elliott",Hotel,Hai Phong
546,Dawson-Stevens,Restaurant,Da Nang
547,Sanford-Vang,Restaurant,Can Tho
548,"Freeman, Watts and Cummings",Supermarket,Da Nang
549,Smith-Obrien,Hospital,Ho Chi Minh
550,Burns-Cantrell,Shopping,Ho Chi Minh
551,"Francis, Bishop and King",Supermarket,Can Tho
552,Barnes-Smith,Coffee,Da Nang
553,Sharp-Greer,Hotel,Hai Phong
554,Johnson Group,Airline,Ho Chi Minh
555,Henry Inc,Fuel,Hai Phong
556,"Allen, Chase and Moore",Hotel,Ho Chi Minh
557,Lopez-Franco,Fuel,Da Nang
558,Taylor-Chavez,Hotel,Ho Chi Minh
559,Wilson-Valdez,Restaurant,Can Tho
560,Martinez PLC,Shopping,Hai Phong
561,"Hendricks, Hensley and Cooley",Restaurant,Da Nang
562,Jones-Barker,Fuel,Can Tho
563,Moore Ltd,Hospital,Can Tho
564,Goodwin-Johnson,Hotel,Hue
565,Evans Ltd,Restaurant,Hai Phong
566,Ochoa Group,Restaurant,Hanoi
567,"Walker, Hawkins and Thompson",Supermarket,Hai Phong
568,"Miller, Davis and Clark",Hotel,Hai Phong
569,Peterson-Petersen,Coffee,Ho Chi Minh
570,Atkins-Lewis,Fuel,Hanoi
571,Walker-Morales,Shopping,Hue
572,Davis Inc,Hotel,Hue
573,"Wells, Murray and Davis",Restaurant,Hue
574,"Delacruz, Porter and Mitchell",Airline,Can Tho
