swipe_id,card_id,merchant_id,amount,device_id,timestamp
160,17532,215,938.94,2efab8cb-f8b,2026-01-10 21:54:21
161,8666,1987,1663.13,e36f2ee2-a3e,2026-05-10 06:57:08
162,2235,874,1475.15,604493a1-5c1,2026-01-04 06:56:04
163,18929,606,640.52,a3dadc72-420,2026-06-19 08:41:27
164,2780,1937,2914.4,1e0e11ac-50a,2026-02-14 01:57:39
165,2636,1045,2540.58,d6952a68-afc,2026-04-29 23:39:48
166,11287,292,833.23,1d1e3ce4-3aa,2026-03-30 11:28:40
167,12057,820,1862.39,d0914c4c-b63,2026-02-07 13:04:23
168,17006,941,2535.74,bf644a34-0c4,2026-01-19 12:21:32
169,6622,1323,700.77,bfe9bfef-375,2026-03-25 23:06:30
170,11326,1151,591.3,529da03e-0c2,2026-05-25 09:07:35
171,4733,328,396.33,065b3f71-4d1,2026-01-30 17:24:40
172,5403,1750,1116.26,6ab27c75-bf5,2026-05-21 14:53:25
173,14628,533,1078.28,686a009d-b6c,2026-02-14 12:07:13
174,3037,374,2540.49,72aac6d7-94f,2026-02-17 15:23:41
175,693,752,1358.77,9ce784ed-725,2026-04-21 03:40:39
176,5239,438,885.83,bfb2d2ef-c9f,2026-02-25 02:28:58
177,6777,923,814.75,ea7970d7-82d,2026-01-18 11:11:18
178,7548,799,1416.73,7d4ff2e9-862,2026-02-22 21:34:27
179,12914,450,661.29,c3601ad8-860,2026-03-26 18:55:13
180,19607,1366,2518.97,15c34c9c-b22,2026-05-20 10:37:14
181,7640,1037,1502.33,f2aa76bf-e9c,2026-02-06 23:51:46
182,17268,631,1767.36,fd94b54a-fb4,2026-05-07 02:12:53
183,9895,1115,2600.83,09558a73-478,2026-03-12 17:37:48
184,7576,1395,1066.55,207ba120-19d,2026-06-27 13:39:08
185,18850,1583,1022.93,1cb5cb17-b06,2026-05-20 02:04:13
186,3049,206,2408.97,4350ac5a-96c,2026-05-20 11:57:18
187,5832,857,2968.23,4035879c-24e,2026-03-05 04:54:26
188,1379,1017,238.32,d6b01658-9a2,2026-02-25 15:27:56
189,14952,511,142.19,80c409bc-192,2026-04-04 12:40:44
190,4191,51,2221.42,70c58802-4ed,2026-05-12 06:29:11
191,13665,1252,890.96,6857bbe0-ca7,2026-04-28 13:46:58
192,437,1671,2003.22,f0e59fe7-1f4,2026-04-24 06:59:55
193,15773,1689,1089.08,d18a56fc-cbc,2026-03-06 17:15:49
194,9158,82,1469.73,22c56c27-2e9,2026-01-01 19:26:34
195,658,989,2993.34,80dda656-66e,2026-03-22 07:36:54
196,7089,1806,210.46,000b9fe9-56d,2026-06-14 03:17:34
197,5721,555,40.72,bd418f7e-035,2026-02-04 02:34:48
198,6899,250,2455.9,7973256c-5f4,2026-02-23 20:56:19
199,17307,1262,512.63,69dedfcb-6cf,2026-04-22 06:06:09
200,14499,1317,2919.94,f60c7463-09f,2026-01-26 22:21:24
201,2924,1409,2861.12,6c0409cc-333,2026-01-03 06:58:39
202,11583,565,1057.41,7d7287e4-5fc,2026-06-22 15:03:26
203,12418,77,895.65,cf1dd9d1-6aa,2026-03-30 00:25:13
204,11077,543,183.32,a22e245f-1b3,2026-02-22 21:06:03
205,621,1180,1336.43,de986830-91e,2026-05-30 13:18:48
206,2640,912,2352.94,dfed7731-d96,2026-02-08 16:02:46
207,11452,1062,1014.14,173ed9e2-c09,2026-01-23 19:25:15
208,10748,1776,765.08,ffd5b284-274,2026-03-17 18:36:37
209,1477,1011,2584.44,12df6f69-a5b,2026-02-09 06:58:40
210,9679,1659,1600.17,fa665605-dd3,2026-02-19 08:29:26
211,12649,1616,937.35,eace9c87-940,2026-05-06 18:06:22
212,11373,1447,722.61,9d0f3875-ddb,2026-05-12 15:00:19
213,18160,574,1601.09,48ac99b8-340,2026-01-03 13:59:09
214,4515,1541,1383.41,9aa8bde4-389,2026-03-26 02:09:04
215,3079,1796,1175.65,ffd7916a-f47,2026-04-06 10:35:41
216,10919,1682,2645.29,1b7567f8-65c,2026-03-15 20:28:45
217,13323,1424,995.55,d7959207-1e3,2026-05-28 04:27:03
218,1291,1548,643.68,4771d943-c08,2026-03-23 17:25:35
219,14482,1460,1390.72,62e20c1e-016,2026-01-06 11:21:10
220,4459,229,1504.35,9346fb2e-ee9,2026-02-21 02:47:46
221,10192,1089,1400.54,0f0ba8ec-91b,2026-01-17 20:40:36
222,9247,941,412.7,d2eca824-c67,2026-06-09 14:24:56
223,9386,1361,1733.71,daafc066-34e,2026-02-02 19:11:48
224,13218,1160,1680.35,9f6b3d0d-ebd,2026-05-15 05:54:49
225,6214,855,2500.18,39991a46-d5c,2026-06-15 23:59:59
226,11220,125,2908.35,42e4f20c-6aa,2026-02-08 17:15:07
227,11348,894,769.81,68c856e0-a31,2026-02-27 22:46:15
228,1236,230,191.56,6ace391e-b1c,2026-05-06 14:05:42
229,9197,1427,1110.29,e0c2b3f7-4c3,2026-05-17 08:32:02
230,4450,565,628.36,cfab16b8-4d9,2026-05-18 16:49:44
231,19726,610,1338.16,f54ea8bf-8b3,2026-02-09 12:29:01
232,19549,663,2957.54,e983f03e-ad7,2026-02-17 22:03:33
233,4915,1483,1103.52,a1c98b04-fbc,2026-04-09 05:01:05
234,2616,1278,826.3,63c330d4-15c,2026-06-06 01:54:34
235,2752,1288,1309.12,3d1853d2-a46,2026-06-19 13:23:02
236,9845,534,2996.22,6ae76b6d-e8e,2026-05-10 21:41:13
237,461,1288,2224.63,017d10c8-e71,2026-06-19 14:31:27
238,4014,1435,260.78,addec178-b12,2026-02-17 13:07:16
239,17690,63,2894.85,072aa9a9-110,2026-02-20 04:55:43
240,14619,1175,2349.02,b52d375d-bc3,2026-04-10 01:02:45
241,9149,382,2533.73,422ffaf1-bb7,2026-02-21 03:45:19
242,7101,426,763.7,8a7b753e-482,2026-02-04 01:14:59
243,16139,1502,2796.04,09a39594-931,2026-06-11 01:35:20
244,2002,1541,1710.68,ea640029-6ae,2026-04-16 01:08:26
245,14987,902,177.35,f0a980ce-59d,2026-01-22 04:56:53
246,7037,1053,284.69,8e37b9ce-993,2026-02-18 05:02:04
247,8211,1151,2102.57,7a4d058b-f83,2026-05-10 18:30:02
248,6527,632,1966.72,e4dc2e5a-bd7,2026-02-07 14:22:25
249,7778,339,1593.78,81734046-dc9,2026-05-23 06:59:32
250,19633,553,2590.19,b4a05922-7f9,2026-01-03 16:28:32
251,1664,1242,1109.98,9d7d3df6-362,2026-06-05 20:03:58
252,2811,1539,2022.37,7522f632-905,2026-01-07 11:33:20
253,17677,841,2941.75,c0b53c8a-674,2026-01-18 11:55:42
254,16193,1381,625.63,419a47b4-0b3,2026-02-02 07:41:18
255,17312,858,1555.78,83ba2105-7f0,2026-05-11 05:09:32
256,11421,1478,1985.54,04091e75-0d9,2026-03-22 04:18:41
257,3161,21,1432.68,06c94b18-da9,2026-02-10 16:03:09
258,13472,965,328.07,fced202d-284,2026-04-10 23:58:54
259,13443,410,1809.37,f4255b12-7b8,2026-05-27 15:20:48
260,9277,897,1132.04,caa6edae-ea1,2026-05-21 16:18:10
261,19745,1341,821.6,ed7e748a-e8d,2026-06-06 05:17:33
262,3874,1532,1217.89,f0deade9-381,2026-02-01 11:16:56
263,12939,1265,2735.26,0d767120-42d,2026-06-09 19:37:57
264,5512,326,1699.75,1d33d014-1a3,2026-03-08 16:37:10
265,12178,610,905.72,11d69504-e45,2026-05-10 09:40:52
266,9134,162,1248.76,ef2a8d7c-1aa,2026-01-19 07:43:27
267,10846,1734,2117.43,fc1e8527-e9e,2026-03-11 23:16:32
268,6468,179,921.27,5ad876e7-dcf,2026-02-13 19:26:28
269,12513,293,1523.16,a1d449d4-056,2026-06-25 12:39:58
270,4084,852,1683.78,d5dbcac4-e17,2026-04-29 13:16:19
271,7126,345,2690.95,a28eff6a-402,2026-01-07 03:06:38
272,6775,800,702.26,c5952305-9ce,2026-05-18 11:24:12
273,4283,1733,1445.24,159905d8-a3e,2026-06-20 18:08:59
274,5572,1583,2629.51,584bf9db-71d,2026-02-17 17:01:16
275,1708,627,525.37,298c5d40-f38,2026-06-16 11:42:51
276,10403,1935,2166.1,23ea9bfc-13d,2026-05-27 22:21:54
277,1313,2000,2355.32,9c13cf60-465,2026-06-29 05:04:02
278,2861,953,1934.86,77aae41d-933,2026-05-09 09:17:02
279,8294,19,2260.96,6cbfbfd7-4cf,2026-01-28 19:33:59
280,1002,1996,300.13,4e9a1245-d2a,2026-03-24 00:33:32
281,15616,499,2511.35,cfd8adc8-bc3,2026-05-10 00:46:38
282,8719,506,2108.04,8def839a-280,2026-02-13 01:19:01
283,12791,679,1195.5,f9d0d857-780,2026-05-24 03:30:52
284,4414,793,1691.73,115f4792-acf,2026-02-02 15:58:52
285,2916,183,718.05,204050d2-19b,2026-05-29 11:32:38
286,10726,697,1971.01,e939ef5e-f76,2026-02-24 16:02:11
287,18820,1033,1909.48,0245a4a9-06b,2026-04-07 04:46:04
288,13185,567,1592.6,81c6344e-7d3,2026-01-10 09:07:47
289,6625,47,1240.47,bf110fcc-91b,2026-03-10 21:35:53
290,15822,125,273.62,e4ea8d07-aac,2026-03-24 00:37:03
291,14144,1261,2738.84,ec9b79ff-f96,2026-06-02 20:02:39
292,495,1213,2315.85,4e5f6dc5-7da,2026-04-18 00:27:27
293,15619,173,1311.05,18bbaeba-d62,2026-01-07 20:53:19
294,900,843,606.94,3a59a578-0ba,2026-04-26 23:58:00
295,1306,759,1508.02,30b19613-371,2026-05-17 20:48:33
296,5907,1670,910.12,2b3f8e7c-7d0,2026-03-02 18:06:37
297,8569,7,754.46,9f973510-26b,2026-05-17 08:55:01
298,14020,52,2399.78,41a56924-763,2026-02-25 22:15:45
299,792,383,1975.14,a1c4d9a0-f5c,2026-02-19 04:05:36
300,9840,343,284.54,27419030-1fe,2026-03-24 13:53:10
301,18456,787,471.7,0b8d3641-a7b,2026-02-23 05:31:04
302,173,1258,2453.43,bd867503-64e,2026-05-30 08:07:47
303,15681,351,2048.81,2ea746c9-297,2026-03-03 06:42:48
304,11478,1436,2620.05,fa1b13eb-323,2026-01-24 21:54:13
305,17132,1104,1858.12,db7055bb-70d,2026-03-25 00:17:19
306,10390,38,1057.25,1cd32ed9-406,2026-01-25 16:08:02
307,8620,1216,2717.35,1770adf7-f6a,2026-06-03 17:51:28
308,14411,273,453.6,a67b1ac7-113,2026-01-08 18:51:08
309,9335,145,957.68,9f7edb81-aaa,2026-05-17 13:06:59
310,14480,1690,2427.94,be9b4951-3a6,2026-06-05 17:41:38
311,10819,1201,1309.94,9a2211f6-01a,2026-05-07 16:15:49
312,1806,1674,1423.82,710151ac-26f,2026-05-20 12:42:54
313,7080,189,2919.32,6b33df8e-862,2026-04-28 15:42:21
314,18430,535,1482.34,90d77153-412,2026-02-03 13:49:03
315,16262,1638,2176.44,642a617c-9fe,2026-03-28 01:54:26
316,769,1470,933.04,ac35ab38-098,2026-06-08 11:09:43
317,13727,929,92.65,ba6c8f21-1de,2026-03-05 18:33:16
318,13146,317,422.1,6996e13a-c7b,2026-03-14 05:52:58
319,15503,779,2288.62,9187c582-70d,2026-02-06 08:22:16
320,19886,643,559.51,ffdff86d-e0a,2026-06-15 03:58:29
321,10236,1997,1114.15,7a3218fd-549,2026-03-17 02:53:06
322,12999,568,969.53,320d7417-e95,2026-02-23 20:19:45
323,19481,846,2318.98,6cc31e59-e6b,2026-04-10 03:56:08
324,12015,1986,1598.42,b7020fec-81b,2026-04-05 04:21:11
325,13219,1235,1056.08,e9f750bd-daa,2026-03-27 04:52:24
326,13652,1554,638.31,bae52ffb-318,2026-02-03 06:35:39
327,19891,148,2117.47,a19c3b39-28b,2026-06-23 23:51:50
328,5267,839,1032.44,9db65c55-af2,2026-01-25 20:26:51
329,19775,495,1065.83,1cf0a2e4-63a,2026-01-27 17:27:03
330,15388,492,1674.84,0ee4d677-9ab,2026-01-05 08:46:01
331,4748,1773,1902.31,e8cf7acd-5d9,2026-01-04 11:06:20
332,12838,170,1667.73,41a35560-ea3,2026-05-29 01:21:54
333,12779,178,2532.49,caa5115f-3f8,2026-06-20 16:29:33
334,7092,1979,263.78,0a61454f-126,2026-06-04 01:23:25
335,13558,117,1098.18,27b5c565-270,2026-06-04 07:42:18
336,12533,1104,1616.49,a7f583f6-7df,2026-06-05 18:48:17
337,3831,1040,1543.51,d3df4e9a-be5,2026-05-15 06:55:47
338,8626,1289,494.69,51f4322e-e1b,2026-02-09 01:24:26
339,18490,134,1526.98,87b063ac-a14,2026-05-14 04:52:11
340,15555,539,1037.4,6499d460-a5d,2026-06-12 18:57:45
341,2425,1537,546.69,de48daba-371,2026-06-20 23:19:03
342,15363,1796,1829.53,4902fa03-168,2026-01-02 05:54:28
343,19351,602,1332.13,387c6be9-697,2026-05-19 14:52:55
344,6828,1484,1260.46,3d2645a0-259,2026-01-05 14:22:38
345,16469,425,1969.21,94b55f64-fab,2026-04-02 22:40:44
346,13127,1937,129.04,a6a70655-78e,2026-02-05 09:00:16
347,4640,274,919.71,112952f0-2f5,2026-03-14 03:06:06
348,17336,265,768.4,f9a1a0b1-fbc,2026-06-05 21:03:39
349,12116,96,1716.9,313ae1a9-3da,2026-05-16 03:17:43
350,19742,1762,1486.42,1840206a-8c0,2026-01-14 20:32:43
351,13806,101,2416.32,0f6dc334-64c,2026-01-13 08:26:29
352,8903,83,1108.45,06b5e88f-fc5,2026-04-17 07:33:50
353,1792,183,1971.74,56ccb3ab-7df,2026-01-14 15:37:14
354,11308,103,1562.86,9937959a-f14,2026-03-02 01:32:38
355,9634,432,276.36,17855aa6-ebe,2026-06-07 05:14:53
356,14894,699,1735.82,7efeaebd-271,2026-06-10 05:05:49
357,12932,744,892.81,80ebecd0-265,2026-04-24 06:33:53
358,18536,80,1496.69,8a28e6c4-c34,2026-01-20 17:00:58
359,11156,470,1846.11,4a459204-365,2026-03-31 20:09:02
360,15167,644,234.59,3e3c8cd9-e9e,2026-06-11 15:42:07
361,11609,607,2559.96,d9b3b6f0-cf5,2026-02-25 09:10:13
362,5194,1628,2187.94,54658033-42a,2026-05-06 12:43:29
363,15075,430,2075.69,6e607d09-a63,2026-01-11 18:20:28
364,10052,1093,1811.31,9d326b99-d6b,2026-06-04 07:49:28
365,6867,1116,1563.76,acdfbdcd-eb7,2026-05-12 12:14:43
366,5591,1521,2991.61,bb0d0597-2dc,2026-05-25 16:31:16
367,17674,470,2612.95,b7c9957f-a60,2026-01-29 00:16:24
368,7429,1195,2735.56,384a54e1-206,2026-04-09 05:26:37
369,17113,716,696.76,7d6a1569-116,2026-06-07 23:43:57
370,10166,1203,1030.65,b9febe16-2df,2026-01-22 00:16:54
371,14790,1307,2770.51,905d4d28-5d3,2026-04-22 09:05:02
372,15988,1751,569.22,8f57be11-f43,2026-02-23 23:55:43
373,17071,542,896.66,7094747f-ba1,2026-01-28 22:57:51
374,12806,1229,1228.32,034ac84a-c8d,2026-01-08 13:21:31
375,12517,1669,875.45,d63e8597-93d,2026-01-02 22:40:19
376,13302,1449,1947.44,73f8ff4e-d22,2026-05-09 22:31:46
377,1491,887,296.74,d65599ae-9a4,2026-01-05 07:53:58
378,941,781,2755.01,7c861e50-a56,2026-03-18 09:54:28
379,918,1915,935.75,1f4b2b6e-3c4,2026-02-09 13:18:58
380,11750,1775,528.78,d1dbdda5-203,2026-03-29 20:01:45
381,1551,1986,2626.18,b9085b54-857,2026-03-31 07:55:07
382,11343,1470,1679.43,34047e80-2b7,2026-04-06 15:31:42
383,831,153,2657.65,2d708802-bd3,2026-05-03 03:31:26
384,2219,1210,2796.1,db1a68ad-185,2026-03-05 19:45:23
385,12016,650,952.49,779f86d5-755,2026-01-24 01:25:58
386,14428,520,2350.18,0d1057ce-a44,2026-02-18 03:07:15
387,8395,631,630.89,59aaa122-56a,2026-05-16 12:06:09
388,12126,241,1607.0,8038e134-343,2026-02-27 01:35:38
389,16058,1399,1003.87,16a28e17-c7f,2026-01-02 14:08:42
390,12121,1511,1963.99,fc2ae8fe-544,2026-04-22 08:46:27
391,8437,1923,222.9,0b68aba6-eb6,2026-03-22 07:30:44
392,11355,714,2971.83,f7d4e662-df6,2026-06-13 09:16:48
393,16325,1150,105.37,042c646b-fd5,2026-03-15 02:13:39
394,19752,12,1283.02,229ea244-b51,2026-02-05 07:05:14
395,17040,1215,1636.42,9a306baf-f64,2026-02-20 12:26:51
396,17983,862,2205.4,66c11514-1cb,2026-04-05 22:00:54
397,8151,487,2631.06,375bc155-1eb,2026-06-16 09:03:40
398,2463,721,596.13,0c500d61-fda,2026-05-04 06:39:03
399,15338,1918,1997.35,17df1b5e-abe,2026-04-21 07:04:58
400,1870,1010,336.16,d94e4965-f78,2026-03-11 07:21:51
401,13664,340,718.96,623b4100-758,2026-02-21 09:40:57
402,19000,266,1808.73,3202f4d4-c40,2026-04-30 14:32:33
