repayment_id,loan_id,principal_paid,interest_paid,payment_date,late_days
56,1324,1124.63,385.06,2026-05-26,54
57,1959,2022.34,553.65,2026-06-14,38
58,2492,1365.13,57.16,2026-06-14,42
59,1856,1971.47,718.01,2026-02-05,13
60,1765,4228.26,246.41,2026-01-24,9
61,1381,4673.27,306.11,2026-04-28,29
62,1876,1201.03,143.6,2026-02-01,20
63,1136,4300.37,356.51,2026-06-18,24
64,936,142.3,870.36,2026-05-11,43
65,1212,1322.2,194.52,2026-03-28,14
66,1168,4622.7,387.41,2026-01-26,42
67,2654,356.11,77.88,2026-02-24,27
68,453,245.8,475.02,2026-03-28,16
69,2882,907.85,114.67,2026-03-16,2
70,121,3987.71,722.99,2026-02-02,0
71,479,4481.17,995.0,2026-04-16,34
72,819,540.98,779.32,2026-01-09,30
73,535,353.23,154.49,2026-01-05,15
74,2536,3145.37,138.48,2026-05-06,43
75,178,1133.01,249.48,2026-03-03,42
76,823,2621.08,458.75,2026-02-18,37
77,658,4570.64,787.97,2026-05-23,39
78,945,1952.13,313.12,2026-02-03,53
79,2482,2928.33,622.93,2026-03-09,23
80,2981,3009.32,504.19,2026-03-16,29
81,2303,2417.07,530.16,2026-01-22,31
82,1461,3489.03,976.89,2026-02-20,36
83,1838,3732.76,424.48,2026-05-04,22
84,543,4439.13,703.78,2026-05-19,35
85,1203,2938.97,597.74,2026-05-22,47
86,1229,1558.47,291.08,2026-06-17,50
87,794,1736.54,630.62,2026-05-17,3
88,200,4960.19,464.34,2026-05-25,23
89,2826,4792.74,799.24,2026-05-06,9
90,328,3580.27,446.07,2026-06-13,1
91,595,3838.14,641.07,2026-06-14,27
92,1086,2547.76,501.65,2026-04-15,26
93,1296,486.6,844.33,2026-04-29,47
94,627,1854.87,195.15,2026-01-26,7
95,1636,3503.48,683.07,2026-05-10,48
96,1978,2261.87,589.37,2026-02-11,38
97,2055,4516.47,596.03,2026-03-30,3
98,43,2848.68,137.59,2026-02-18,52
99,289,1789.61,973.43,2026-04-22,6
100,2968,1073.71,486.6,2026-05-28,14
101,2794,4871.5,415.81,2026-02-11,9
102,1403,4565.15,308.39,2026-03-06,18
103,2046,3958.76,984.57,2026-06-06,31
104,286,4131.75,859.47,2026-06-11,50
105,263,4262.72,744.33,2026-04-28,51
106,2365,1410.04,353.41,2026-02-21,5
107,1515,479.39,61.85,2026-06-02,33
108,663,230.78,69.17,2026-05-05,58
109,725,4084.92,186.59,2026-01-08,4
110,517,2662.97,602.22,2026-04-11,54
111,1615,1862.23,677.78,2026-04-30,44
112,277,3225.45,607.98,2026-02-27,1
113,1850,3435.18,802.56,2026-04-08,47
114,833,4675.02,344.4,2026-05-22,2
115,494,4587.84,970.9,2026-01-25,50
116,2596,2072.4,933.51,2026-01-04,9
117,2975,4286.83,950.9,2026-02-11,32
118,1860,3886.26,314.93,2026-03-03,46
119,436,443.09,608.03,2026-03-27,59
120,390,452.28,824.42,2026-06-03,35
121,117,3736.05,132.26,2026-03-26,38
122,2210,598.82,128.69,2026-03-15,56
123,192,3322.53,749.27,2026-05-29,47
124,2947,1529.09,253.54,2026-02-01,13
125,1493,2441.89,157.36,2026-06-19,44
126,1436,4990.78,879.74,2026-03-03,5
127,2676,1664.46,101.07,2026-01-12,46
128,1646,656.66,671.39,2026-01-30,20
129,2850,645.69,758.81,2026-05-14,10
130,1203,2407.95,328.04,2026-01-27,26
131,727,4493.53,880.37,2026-01-16,14
132,1008,827.64,896.3,2026-01-13,43
133,618,1281.25,536.8,2026-01-13,27
134,564,3552.58,712.38,2026-05-13,57
135,2494,983.03,390.15,2026-05-18,4
136,417,3836.75,403.0,2026-03-03,0
137,455,2431.38,795.38,2026-02-14,32
138,2567,341.76,27.99,2026-03-28,45
139,107,4543.13,180.01,2026-01-14,6
140,1502,3272.3,319.01,2026-04-22,49
141,2620,4702.01,856.39,2026-03-30,60
142,1459,3788.11,710.07,2026-05-22,1
143,1741,847.68,681.92,2026-01-25,40
144,1137,1277.35,467.07,2026-05-02,53
145,2737,3711.6,86.82,2026-01-03,27
146,249,4230.41,282.62,2026-05-19,26
147,2221,2269.91,747.09,2026-03-18,22
148,2663,3847.68,807.7,2026-01-01,41
149,2870,1169.28,892.41,2026-04-18,53
150,1473,323.88,412.65,2026-05-17,35
151,671,4252.47,269.79,2026-04-20,16
152,2862,1521.23,413.84,2026-04-01,5
153,1704,3360.27,70.96,2026-06-25,18
154,789,2453.28,603.32,2026-05-22,50
155,1429,2337.84,707.66,2026-01-23,40
156,649,2571.49,256.86,2026-03-18,37
157,763,262.8,872.84,2026-03-27,8
158,2881,4931.13,841.11,2026-02-22,29
159,1178,4457.98,522.4,2026-01-07,14
160,18,1835.2,86.74,2026-05-07,18
161,699,3711.87,534.63,2026-01-02,18
162,2002,929.14,520.38,2026-01-11,12
163,2707,4117.38,452.17,2026-04-12,15
164,1282,1958.46,970.2,2026-03-15,19
165,1030,2924.41,993.48,2026-01-21,45
166,1812,1138.16,37.35,2026-01-14,6
167,1932,3455.45,680.4,2026-03-11,32
168,2919,2527.51,546.89,2026-02-17,16
169,980,4811.46,840.24,2026-05-28,7
170,1351,566.3,479.78,2026-03-14,26
171,2388,4199.32,992.86,2026-03-01,28
172,412,1324.6,370.51,2026-03-29,57
173,2995,103.07,341.98,2026-03-07,43
174,2016,2653.92,106.03,2026-02-15,48
175,1943,2177.55,740.87,2026-01-04,10
176,2125,2723.06,728.47,2026-04-09,56
177,2484,4918.26,873.09,2026-01-04,38
178,659,3735.25,182.4,2026-06-16,51
179,2109,2411.39,617.58,2026-03-02,22
180,1252,1698.22,897.69,2026-01-10,26
181,415,1414.66,693.84,2026-03-04,58
182,116,2624.37,73.24,2026-05-27,45
183,883,132.27,421.42,2026-04-07,21
184,1379,3800.53,974.78,2026-04-11,42
185,1332,4566.02,862.1,2026-02-26,7
186,827,432.94,849.67,2026-06-09,59
187,850,756.84,423.79,2026-02-22,32
188,306,3572.73,396.81,2026-03-15,46
189,2868,2270.28,908.56,2026-06-03,54
190,2461,3331.18,907.12,2026-01-26,13
191,2299,2771.86,702.2,2026-05-08,22
192,1569,2611.96,728.3,2026-02-13,22
193,1983,4497.56,734.19,2026-03-29,16
194,2461,1540.23,400.2,2026-01-16,19
195,515,1556.14,981.98,2026-04-04,3
196,2137,3069.1,413.0,2026-06-12,25
197,2479,2299.61,978.9,2026-05-26,17
198,8,3652.44,251.54,2026-06-23,33
199,2266,1240.76,197.1,2026-01-29,33
200,2009,1436.67,802.86,2026-05-30,36
201,2342,3862.41,642.81,2026-03-16,37
202,2417,2695.07,871.84,2026-05-15,54
203,2898,2573.02,466.31,2026-02-03,7
204,1990,2099.27,855.31,2026-05-21,54
205,1145,4465.66,956.38,2026-03-21,42
206,2382,3153.93,397.21,2026-02-18,49
207,1339,476.4,868.42,2026-05-28,21
208,1930,1333.18,67.68,2026-05-11,49
209,868,2738.19,253.35,2026-05-10,5
210,2519,4913.93,917.73,2026-04-27,43
211,664,4403.73,713.02,2026-04-16,57
212,2231,1982.45,342.1,2026-05-09,3
213,846,2095.61,717.12,2026-05-27,25
214,2002,682.14,238.33,2026-06-09,42
215,2242,653.21,540.5,2026-03-21,46
216,576,2353.16,128.25,2026-03-03,10
217,1133,2248.64,609.64,2026-02-20,35
218,2782,1252.86,824.6,2026-06-13,55
219,1825,2276.02,619.16,2026-05-16,26
220,1967,1160.17,346.11,2026-03-01,22
221,1576,2320.99,185.67,2026-06-20,5
222,2368,1215.4,483.13,2026-02-11,33
223,622,3616.59,303.4,2026-02-20,53
224,295,484.11,821.28,2026-01-13,39
225,2528,1542.61,78.45,2026-04-09,24
226,2801,1090.54,782.4,2026-06-12,23
227,809,2709.91,467.26,2026-02-17,44
228,1887,2363.19,271.37,2026-03-06,60
229,2197,990.87,151.32,2026-06-25,48
230,1205,1698.56,878.34,2026-04-16,21
231,2900,972.89,359.76,2026-05-28,5
232,923,1052.06,811.47,2026-02-22,12
233,2152,3941.35,122.24,2026-05-01,11
234,2796,1163.23,995.63,2026-05-20,47
235,739,2583.71,142.93,2026-01-14,26
236,1677,4949.81,379.33,2026-03-26,46
237,881,128.85,877.23,2026-04-19,13
238,1410,3541.43,810.17,2026-06-22,58
239,2418,2468.43,705.77,2026-01-18,18
240,276,3686.58,946.57,2026-03-04,7
241,2124,1834.54,617.8,2026-04-14,59
242,767,1199.29,289.91,2026-01-24,7
243,165,4038.83,855.28,2026-01-19,52
244,2087,4552.1,338.0,2026-05-22,45
245,403,3671.67,463.09,2026-05-31,42
246,1210,4699.24,650.83,2026-03-28,52
247,737,426.91,831.67,2026-02-14,26
248,2693,798.4,684.27,2026-06-22,38
249,291,3801.43,896.83,2026-02-19,11
250,2890,4828.33,174.37,2026-03-02,57
251,1544,3285.9,976.52,2026-02-25,32
252,2264,4159.97,833.9,2026-02-16,12
253,2261,2440.24,488.21,2026-02-12,60
254,126,4115.66,214.21,2026-05-20,12
255,827,3089.47,901.54,2026-05-20,52
256,2074,1247.4,27.94,2026-04-02,25
257,290,1182.67,562.64,2026-01-25,53
258,5,4798.14,772.32,2026-04-26,24
259,163,3512.86,451.1,2026-02-19,18
260,350,685.91,863.79,2026-06-13,22
261,285,2229.38,440.56,2026-03-15,1
262,2781,2481.28,232.99,2026-01-28,23
263,2337,3214.28,265.56,2026-01-03,1
264,1985,3118.33,842.3,2026-06-21,31
265,1272,856.32,512.55,2026-05-26,58
266,2307,2617.21,360.37,2026-05-27,50
267,1588,1591.0,761.0,2026-05-03,29
268,392,4196.95,884.68,2026-03-16,33
269,83,1126.1,540.25,2026-01-07,20
270,758,3102.66,68.17,2026-01-02,41
271,91,797.81,556.16,2026-02-07,23
272,977,131.39,418.16,2026-01-25,45
273,1530,1429.89,762.89,2026-02-09,1
274,2369,489.82,177.3,2026-03-20,57
275,779,4313.82,156.45,2026-05-15,23
276,2889,1990.52,452.92,2026-05-28,30
277,2697,1837.15,692.58,2026-02-07,55
278,1563,4957.69,652.29,2026-04-15,60
279,1823,1846.83,54.44,2026-05-26,38
280,724,1822.85,904.64,2026-04-10,42
281,2604,2354.72,973.63,2026-01-19,25
282,1314,1049.9,529.54,2026-04-26,31
283,2906,4552.2,966.42,2026-01-10,43
284,1719,870.49,140.22,2026-06-17,52
285,806,1044.33,772.1,2026-01-30,42
286,1109,2798.53,540.54,2026-05-21,4
287,2057,2148.13,266.99,2026-03-27,41
288,2701,287.95,338.18,2026-04-12,13
289,1666,1872.23,48.65,2026-06-23,30
290,2542,329.58,346.13,2026-05-19,26
291,2242,4695.61,31.18,2026-04-03,26
292,414,3836.24,981.69,2026-06-12,9
293,1845,3286.14,961.21,2026-03-10,3
294,137,1681.24,324.83,2026-04-10,35
295,1845,3889.07,539.49,2026-03-24,18
296,805,458.99,801.88,2026-01-01,11
297,925,1205.56,549.91,2026-03-13,54
298,1328,363.43,241.02,2026-01-22,12
299,2244,2938.15,170.16,2026-05-10,1
300,1086,4639.08,196.97,2026-06-28,23
301,2054,1926.96,690.2,2026-03-24,7
302,1762,3588.07,767.11,2026-02-09,53
303,2548,1102.79,401.96,2026-03-04,23
304,2670,2504.92,959.05,2026-01-25,51
305,1906,3377.65,465.2,2026-05-16,4
306,889,1149.22,360.48,2026-04-15,58
307,401,925.93,816.07,2026-02-03,26
308,2666,4320.47,450.72,2026-02-13,37
309,1234,3751.88,844.44,2026-05-29,4
310,193,4559.45,357.53,2026-04-14,34
311,774,4507.28,979.09,2026-03-10,28
312,855,4339.06,500.02,2026-02-01,7
313,2445,4033.3,38.74,2026-03-23,37
314,863,1720.77,279.34,2026-05-05,22
315,1334,307.89,654.77,2026-01-21,37
316,2292,4065.45,546.44,2026-02-20,55
317,2819,3848.53,627.82,2026-06-12,51
318,650,130.08,826.44,2026-04-23,60
319,198,4255.64,56.34,2026-01-04,18
320,1258,4540.82,573.1,2026-06-23,37
321,2758,1613.35,718.43,2026-02-08,23
322,2142,3094.09,355.99,2026-01-24,14
323,1958,1068.56,646.81,2026-05-03,35
324,940,3624.94,405.45,2026-03-25,53
325,1161,2147.06,182.95,2026-02-10,50
326,2283,4658.14,978.16,2026-04-16,60
327,458,3541.44,371.43,2026-03-24,51
328,205,1474.76,72.01,2026-03-30,9
329,2867,735.62,611.83,2026-04-08,49
330,1391,2634.44,983.37,2026-04-19,58
331,2076,2182.14,923.74,2026-05-08,49
332,1694,3909.67,505.1,2026-03-27,50
333,455,2558.47,106.73,2026-03-30,29
334,684,1654.19,964.41,2026-06-15,20
335,1900,4020.49,40.64,2026-02-19,54
336,1587,4452.09,326.55,2026-06-08,24
337,1622,3497.75,369.98,2026-03-15,56
338,2582,2710.42,465.23,2026-01-30,40
339,772,2197.21,588.46,2026-03-30,34
340,2507,137.31,638.74,2026-02-10,1
341,2201,571.27,712.45,2026-06-07,10
342,1358,620.89,75.73,2026-04-07,35
343,1276,4436.16,442.62,2026-04-06,44
344,470,3018.44,371.85,2026-02-18,8
345,387,3378.11,582.45,2026-04-10,47
346,1404,1792.66,824.4,2026-04-10,25
347,2445,2750.71,209.19,2026-04-17,6
348,1022,4535.26,575.1,2026-02-18,43
349,1860,1546.62,578.2,2026-05-18,34
350,1398,4973.77,733.44,2026-01-10,1
351,2316,486.46,904.34,2026-02-12,42
352,2550,2714.54,998.59,2026-02-05,26
353,2057,4968.14,61.43,2026-02-08,39
354,1368,3600.43,960.43,2026-05-05,4
355,38,3287.57,827.64,2026-04-23,10
356,1647,626.67,582.58,2026-02-07,47
357,336,2662.78,533.19,2026-03-14,24
358,2914,1599.67,342.42,2026-04-24,14
359,2661,3501.02,346.79,2026-05-05,35
360,989,2323.07,675.49,2026-01-31,25
361,434,695.21,367.14,2026-04-28,23
362,484,3105.65,763.73,2026-03-21,50
363,605,171.34,775.7,2026-01-04,11
364,2096,3572.29,111.32,2026-02-23,19
365,1931,4733.44,397.39,2026-01-21,24
366,1263,4759.61,332.42,2026-05-26,54
367,960,1574.51,909.21,2026-03-25,30
368,763,4750.89,639.05,2026-06-12,3
369,2548,360.97,695.41,2026-03-06,37
370,2260,2280.84,940.24,2026-01-06,13
371,2365,767.1,940.06,2026-01-09,45
372,2906,2402.4,964.76,2026-03-24,32
373,382,2082.71,933.95,2026-05-21,15
374,1504,1829.72,489.03,2026-05-01,50
375,288,1330.99,547.62,2026-02-07,8
376,1676,1366.16,28.27,2026-02-19,20
377,1376,2834.17,242.0,2026-05-11,46
378,2792,426.07,504.09,2026-03-08,54
379,1483,4179.82,624.66,2026-02-19,10
380,613,4502.66,131.77,2026-05-29,54
381,2615,4903.79,89.32,2026-03-23,14
382,2392,2856.13,778.23,2026-04-15,46
383,2842,3614.88,672.88,2026-04-01,9
384,1629,2629.85,203.19,2026-04-15,58
385,1905,3103.47,393.52,2026-05-24,19
386,144,226.85,203.59,2026-02-17,24
387,257,583.23,396.9,2026-06-26,26
388,1091,2535.25,995.31,2026-01-01,26
389,1467,2107.21,546.92,2026-04-22,59
390,1217,1965.17,671.72,2026-04-10,60
391,1915,4819.92,588.75,2026-05-27,0
392,2577,4527.0,56.7,2026-05-12,9
393,2272,242.84,268.88,2026-03-23,28
394,417,3984.75,532.19,2026-06-24,52
395,853,848.9,948.96,2026-06-27,3
396,2386,3332.1,881.2,2026-04-19,12
397,2453,235.71,932.32,2026-03-02,42
398,2916,2873.33,996.36,2026-03-23,55
399,936,4766.34,745.2,2026-05-17,14
400,1647,2528.55,290.85,2026-04-20,3
401,2863,2168.8,710.63,2026-05-08,23
402,2417,4633.11,706.18,2026-02-13,40
403,2977,3725.5,864.94,2026-02-14,40
404,285,4810.82,275.61,2026-01-25,10
405,1743,3845.2,520.32,2026-02-15,34
406,2793,1458.16,161.53,2026-06-07,44
407,337,4294.81,756.11,2026-01-08,7
408,253,1978.87,850.51,2026-06-14,11
409,2301,4153.09,693.97,2026-04-10,36
410,1449,2873.15,154.37,2026-04-07,16
411,2234,563.52,310.29,2026-05-19,44
412,1542,4684.99,444.51,2026-03-03,21
413,927,3475.8,761.59,2026-03-29,22
414,2955,1509.35,630.74,2026-04-02,4
415,980,2026.88,370.34,2026-04-16,25
416,90,4761.7,369.08,2026-03-02,39
417,284,3254.86,318.91,2026-03-05,0
418,2745,3811.49,750.09,2026-01-30,16
419,1950,4183.97,417.59,2026-04-20,11
420,2187,4398.81,862.54,2026-05-07,7
421,35,4756.06,66.71,2026-06-04,9
422,832,1355.9,705.64,2026-03-04,59
423,2978,1532.94,353.21,2026-01-03,19
424,116,826.69,172.41,2026-01-14,32
425,127,1086.5,163.44,2026-03-06,56
426,1319,3065.32,166.51,2026-06-14,21
427,634,909.79,971.16,2026-03-05,1
428,1419,729.54,869.98,2026-01-11,31
429,1073,4703.03,31.58,2026-03-12,59
430,2773,450.98,924.62,2026-04-08,12
431,1145,2002.68,581.5,2026-02-06,54
432,724,802.52,632.4,2026-04-30,0
433,680,4072.07,518.96,2026-04-29,9
434,1577,111.6,847.87,2026-02-16,53
435,1033,2676.46,77.23,2026-02-22,1
436,286,4963.89,482.24,2026-03-10,29
437,132,4888.47,982.33,2026-01-08,35
438,1573,4636.29,689.9,2026-03-14,18
439,1420,3834.66,491.21,2026-05-25,6
440,1531,804.92,604.05,2026-03-29,2
441,1719,1129.58,34.75,2026-01-23,3
442,2024,630.02,436.0,2026-04-07,1
443,2196,4336.65,358.53,2026-05-22,33
444,2845,3640.29,264.36,2026-03-13,33
445,2615,2994.78,293.15,2026-02-21,0
446,2129,1804.02,235.28,2026-02-12,2
447,1092,2904.38,274.17,2026-03-23,43
448,1604,791.13,455.17,2026-01-20,24
449,2972,2857.6,270.91,2026-01-30,53
450,700,1364.89,89.47,2026-03-14,60
451,2950,3941.17,287.82,2026-05-21,30
452,953,4880.52,905.08,2026-05-13,58
453,1626,1093.46,641.8,2026-03-19,33
454,2925,2822.68,397.83,2026-03-28,16
455,1015,3365.98,862.25,2026-06-09,11
456,2330,2246.81,967.13,2026-04-16,11
457,644,1510.93,933.48,2026-06-14,37
458,1959,963.39,67.89,2026-02-15,53
459,888,2958.54,230.36,2026-03-26,29
460,627,4793.17,751.54,2026-03-02,56
461,2,2871.41,853.38,2026-02-01,0
462,238,4629.37,115.6,2026-02-10,38
463,897,1432.64,132.7,2026-05-07,18
464,1660,3731.39,197.25,2026-04-29,37
465,1894,904.26,867.07,2026-06-08,20
466,943,828.53,428.71,2026-02-22,53
467,581,718.52,69.43,2026-05-11,31
468,1407,2068.14,585.21,2026-04-16,12
469,1476,1161.95,197.76,2026-01-12,5
470,2725,3962.33,751.79,2026-04-25,33
471,1869,2176.11,772.96,2026-03-26,50
472,1241,4165.13,146.02,2026-04-10,60
473,2385,1091.48,804.61,2026-04-04,37
474,403,1568.54,334.93,2026-01-22,58
475,1086,1661.09,427.94,2026-06-23,35
476,1432,4773.75,910.47,2026-06-07,36
477,377,2038.6,345.32,2026-01-07,59
478,2482,2736.4,216.14,2026-01-30,11
479,2112,4883.23,40.28,2026-01-16,34
480,2703,3656.57,247.67,2026-03-30,1
481,1467,4775.65,794.87,2026-06-16,16
482,1353,1625.88,838.0,2026-03-30,3
483,210,2107.9,630.69,2026-01-25,56
484,1330,1553.97,561.47,2026-04-28,31
485,1041,909.61,872.8,2026-05-19,26
486,1239,532.95,204.38,2026-03-20,33
487,772,1038.71,661.06,2026-01-19,48
488,1158,2500.2,243.47,2026-02-23,1
489,2825,982.6,70.01,2026-06-18,47
490,1850,4869.78,58.1,2026-02-24,23
491,666,1650.25,858.07,2026-01-19,43
492,987,3284.9,71.84,2026-03-04,27
493,2969,2157.22,595.48,2026-02-19,44
494,9,3017.26,221.47,2026-01-31,47
495,2212,2578.68,451.12,2026-03-24,11
496,1194,4690.86,35.91,2026-02-15,60
497,1790,2792.03,146.22,2026-01-31,58
498,1681,3296.98,932.12,2026-05-13,50
499,2631,1435.63,575.53,2026-04-27,42
500,876,3887.06,737.34,2026-04-01,13
501,1864,2426.7,734.54,2026-02-27,22
502,2703,4446.13,566.34,2026-03-06,40
503,1302,3617.28,533.63,2026-01-05,54
504,2960,4605.46,624.3,2026-03-28,36
505,962,1744.31,479.07,2026-05-31,2
506,753,4972.49,198.76,2026-06-04,6
507,330,3525.02,805.43,2026-03-12,29
508,2355,2237.33,523.92,2026-04-23,26
509,1894,2845.28,846.44,2026-04-26,24
510,1788,3776.77,572.74,2026-04-17,49
511,307,1549.93,305.0,2026-04-10,37
512,759,2230.41,376.07,2026-06-15,3
513,214,4259.27,624.43,2026-04-08,55
514,1265,220.47,301.24,2026-05-17,33
515,2411,2915.29,377.01,2026-05-18,60
516,1016,4152.96,760.4,2026-03-31,56
517,496,1159.21,504.56,2026-02-18,32
518,503,876.67,954.52,2026-01-09,60
519,1110,3178.23,402.16,2026-03-20,50
520,1429,4230.34,204.33,2026-01-10,27
521,798,726.57,200.25,2026-05-23,32
522,1093,2357.14,421.2,2026-04-22,20
523,2704,4078.15,521.0,2026-03-12,9
524,538,2000.29,736.94,2026-03-11,51
525,2754,2316.9,686.68,2026-05-21,57
526,1745,1166.91,610.68,2026-02-16,44
527,1499,2607.69,786.8,2026-03-08,59
528,2058,3258.37,629.55,2026-06-21,5
529,1942,1440.03,994.22,2026-03-23,20
530,536,769.79,941.05,2026-01-09,14
531,2232,2281.83,121.3,2026-05-27,12
532,2648,2861.06,719.12,2026-06-09,24
533,264,813.01,617.49,2026-01-13,15
534,2404,270.32,44.28,2026-01-21,17
535,2120,1799.02,224.33,2026-01-13,36
536,1131,2760.93,723.72,2026-03-29,11
537,117,1681.98,562.71,2026-02-02,28
538,1475,2144.35,351.64,2026-04-27,14
539,1430,417.86,982.67,2026-05-12,38
540,1230,1436.63,603.66,2026-02-15,34
541,2997,3411.36,994.93,2026-06-19,10
542,2954,3009.01,647.8,2026-03-26,29
543,2236,1532.01,973.69,2026-05-26,23
544,2884,3008.15,470.28,2026-04-13,2
545,11,2375.11,968.51,2026-04-12,45
546,1994,2753.51,305.71,2026-04-20,26
547,1238,3090.18,724.12,2026-04-05,40
548,2051,4230.62,894.47,2026-01-23,24
549,1277,1090.83,731.26,2026-05-01,43
550,617,3234.46,981.46,2026-01-30,49
551,1879,2425.56,108.86,2026-04-21,32
552,1967,716.13,172.7,2026-05-30,54
553,1069,199.85,651.58,2026-01-11,32
554,2071,908.85,67.88,2026-03-31,34
555,819,3559.75,111.48,2026-05-24,0
556,946,3407.54,225.7,2026-01-31,51
557,2807,3259.58,919.52,2026-02-08,58
558,2913,394.11,264.71,2026-06-25,60
559,320,4700.43,175.93,2026-01-11,2
560,1976,747.9,453.27,2026-06-23,33
561,1584,4862.81,594.13,2026-03-29,42
562,2670,2970.12,820.01,2026-04-03,58
563,1018,1532.92,638.07,2026-04-07,48
564,2802,2113.22,77.99,2026-02-06,21
565,1859,4087.15,418.62,2026-06-26,51
566,2707,3535.85,47.65,2026-03-15,12
567,2011,774.58,208.23,2026-06-01,47
568,2957,4480.95,504.76,2026-01-30,12
569,166,2014.95,194.12,2026-05-08,10
570,1695,813.65,509.24,2026-05-14,3
571,2840,2091.78,418.62,2026-03-02,16
572,924,4066.0,418.24,2026-03-21,22
573,1179,2261.89,794.49,2026-05-29,1
574,1488,4689.8,698.3,2026-04-30,60
575,1704,3149.1,785.84,2026-06-25,17
576,2856,2357.99,996.48,2026-06-25,9
577,2184,1632.18,342.61,2026-05-24,11
578,2810,4649.23,163.95,2026-05-16,23
579,560,1369.97,201.57,2026-05-03,26
580,206,2217.79,975.14,2026-04-05,38
581,1555,4128.43,837.15,2026-04-23,1
582,1879,1223.41,647.75,2026-01-15,26
583,709,842.55,320.39,2026-01-20,26
584,1024,1693.81,281.21,2026-06-20,13
585,2368,294.16,577.79,2026-04-26,20
586,1125,4817.22,711.9,2026-06-15,3
587,44,403.77,750.79,2026-03-07,41
588,1762,959.23,357.87,2026-01-13,21
589,393,534.48,87.9,2026-03-16,16
590,2566,2439.77,320.56,2026-06-10,32
591,2761,4647.19,152.23,2026-05-12,21
592,1551,4534.72,830.01,2026-02-04,46
593,1201,2537.34,951.67,2026-01-09,19
594,1883,180.44,791.85,2026-03-25,43
595,2274,1663.31,335.57,2026-03-16,10
596,1667,2140.75,896.02,2026-06-01,47
597,2987,1620.75,966.75,2026-05-24,35
598,326,1033.59,679.71,2026-06-02,50
599,1068,4054.69,824.94,2026-04-15,5
600,412,1679.94,406.93,2026-04-14,16
601,2630,974.46,206.22,2026-05-19,10
602,1210,4279.27,249.51,2026-06-11,48
603,1369,4458.36,549.45,2026-05-22,53
604,1606,1592.82,488.28,2026-06-22,60
605,922,4375.72,678.7,2026-04-25,24
606,1682,3213.43,357.73,2026-04-28,19
607,2288,1299.4,292.72,2026-02-26,25
608,337,1460.63,515.57,2026-03-09,45
609,1064,2175.97,34.81,2026-01-14,36
610,2344,1521.46,297.3,2026-06-01,36
611,2755,4125.48,743.7,2026-06-10,38
612,1235,1823.81,149.8,2026-06-26,56
613,984,1322.91,22.64,2026-02-25,19
614,1158,1030.45,481.87,2026-02-14,2
615,392,2379.22,72.26,2026-06-03,35
616,2267,1520.57,471.95,2026-05-13,47
617,1372,2394.59,616.53,2026-02-07,34
618,463,4903.62,336.94,2026-06-02,37
619,1070,4822.01,767.92,2026-04-03,5
